Id,Name,2026-05-01 13:06:59,2026-05-02 12:40:52,2026-05-03 12:57:07,2026-05-04 12:57:06,2026-05-05 12:43:27,2026-05-06 12:54:01,2026-05-07 12:54:08,2026-05-08 12:48:20,2026-05-09 12:48:15,2026-05-10 13:04:04,2026-05-11 13:14:30,2026-05-12 12:57:57,2026-05-13 13:08:06
122654001,1stPlayer AU8 빅포 ARGB,0,0,0,0,0,0,0,0,0,0,0,_블랙_가격비교예정|_화이트_가격비교예정,"_블랙_64,600|_화이트_68,310"
99912956,1stPlayer GM7 ARGB BTF,"블랙_79,056|_실버_79,056|_화이트_79,056","_블랙_79,056|실버_79,056|_화이트_79,056","_블랙_79,056|실버_79,056|_화이트_79,056","_블랙_79,056|실버_79,056|_화이트_79,056","_블랙_79,056|실버_79,056|_화이트_79,056","_블랙_79,056|실버_79,056|_화이트_79,056","_블랙_79,056|실버_79,056|_화이트_79,056","_블랙_78,120|실버_83,110|_화이트_83,110","_블랙_83,110|실버_82,740|_화이트_82,740","_블랙_83,100|실버_82,740|_화이트_82,740","_블랙_83,110|실버_82,740|_화이트_82,740","_블랙_83,110|실버_82,740|_화이트_82,740","_블랙_83,110|실버_82,740|_화이트_82,740"
21548498,1stPlayer MV8,"_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_72,000","_블랙_74,000|_화이트_70,960","_블랙_74,000|_화이트_70,960"
52153256,1stPlayer Mi5,"_블랙_42,500|_화이트_42,500","_블랙_42,500|_화이트_42,500","_블랙_42,500|_화이트_42,500","_블랙_42,500|_화이트_42,500","_블랙_42,500|_화이트_42,500","_블랙_42,500|_화이트_42,500","_블랙_42,500|_화이트_42,500","화이트_42,500","화이트_42,500","화이트_42,500","화이트_42,500","화이트_42,500","화이트_42,500"
91187588,1stPlayer Mi5 WING,"_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_48,582","_블랙_49,000|_화이트_51,890","_블랙_46,600|_화이트_51,080","_블랙_46,600|_화이트_51,080","_블랙_46,600|_화이트_51,070","_블랙_46,600|_화이트_51,070","_블랙_46,600|_화이트_51,070"
20779499,1stPlayer Mi6,"화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000","화이트_60,000"
19107068,1stPlayer Mi6 MUSIC BAR,"_블랙_66,000|_화이트_70,800",0,"_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800","_블랙_66,000|_화이트_70,800"
19107038,1stPlayer Mi6 MUSIC BAR,0,"_블랙_66,000|_화이트_70,800",0,0,0,0,0,0,0,0,0,0,0
20229629,1stPlayer Mi8,"블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500","블랙_87,500"
103749773,1stPlayer RT7 라운드 ARGB,"_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_92,070|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590"
103749827,1stPlayer RT7 라운드 ARGB,"_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_93,410|_화이트_93,410","_블랙_92,070|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590","_블랙_95,590|_화이트_95,590"
19108916,1stPlayer SP5,"_블랙_66,600|_화이트_72,980","_블랙_66,600|_화이트_72,980","_블랙_66,600|_화이트_72,980","_블랙_66,600|_화이트_72,980","_블랙_66,600|_화이트_72,980","_블랙_66,600|_화이트_73,000","_블랙_66,600|_화이트_73,000","_블랙_66,600|_화이트_75,440","_블랙_66,600|_화이트_75,440","_블랙_66,600|_화이트_75,440","_블랙_66,600|_화이트_75,440","_블랙_66,600|_화이트_75,440","_블랙_66,600|_화이트_75,440"
