Id,Name,2026-06-01 13:57:27,2026-06-02 13:36:26,2026-06-03 13:54:45,2026-06-04 13:50:18,2026-06-05 13:24:06,2026-06-06 13:07:01,2026-06-07 13:33:05
103752341,1stPlayer FM7 120 ARGB PWM,"_블랙_5,710|_화이트_5,710","_블랙_5,710|_화이트_5,710","_블랙_8,440|_화이트_8,000","_블랙_8,440|_화이트_8,000","_블랙_8,440|_화이트_8,000","_블랙_8,440|_화이트_8,000","_블랙_8,440|_화이트_8,000"
103752401,1stPlayer FM7 120 ARGB PWM 리버스,"_블랙_5,710|_화이트_5,710","_블랙_5,710|_화이트_5,710","_블랙_8,000|_화이트_8,000","_블랙_8,000|_화이트_8,000","_블랙_8,000|_화이트_8,000","_블랙_8,340|_화이트_8,340","_블랙_8,340|_화이트_8,340"
100383728,1stPlayer TS4 360 ARGB,"_블랙_82,890|_화이트_82,890","_블랙_82,280|_화이트_82,890","_블랙_82,780|_화이트_82,780","_블랙_82,330|_화이트_82,340",0,0,0
100383770,1stPlayer TS4 360 ARGB,0,0,0,0,"_블랙_81,890|_화이트_82,010","_블랙_81,450|_화이트_81,570","_블랙_81,450|_화이트_81,570"
28122920,1stPlayer WING 120,"_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390","_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390","_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390","_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390","_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390","_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390","_블랙_4,290|3팩, 블랙_24,500|3팩, 화이트_26,000|_화이트_5,390"
28123250,1stPlayer WING-R 120,"_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500","_블랙_6,490|_3팩, 블랙_24,500"
67976123,3RSYS AM5 세이프티 브라켓,"블랙_5,070","블랙_5,070","블랙_5,070","블랙_5,070","블랙_5,070","블랙_5,070","블랙_5,070"
12806516,3RSYS AMD 세이프티 브라켓,"5,130","5,130","5,130","5,120","5,120","5,120","5,120"
11845318,3RSYS APB BAR,"410mm_8,990","410mm_8,990","410mm_8,990","410mm_8,990","410mm_8,990","410mm_8,990","410mm_8,990"
64376207,3RSYS CH10 ARGB AND PWM HUB,"11,750","11,750","11,750","11,730","11,720","11,710","11,710"
13067489,3RSYS ICEAGE G5 이정표 그래픽카드 지지대,"_골드_7,750|_실버_8,900","_골드_7,750|_실버_8,900","_골드_7,750|_실버_8,900","_골드_7,750|_실버_8,900","_골드_7,750|_실버_8,900","_골드_7,750|_실버_8,900","_골드_7,750|_실버_8,900"
