Id,Name,2025-12-01 11:26:46,2025-12-02 11:03:51,2025-12-03 11:03:05,2025-12-04 11:04:24,2025-12-05 11:02:10,2025-12-06 10:58:14,2025-12-07 15:47:44
4854615,HGST Deskstar NAS 패키지 7200/128M HDN726040ALE614,0,"2x4TB_81원/1GB_650,000|4TB_83원/1GB_330,000","2x4TB_81원/1GB_650,000|4TB_83원/1GB_330,000","2x4TB_81원/1GB_650,000|4TB_83원/1GB_330,000","2x4TB_81원/1GB_650,000|4TB_83원/1GB_330,000","2x4TB_81원/1GB_650,000|4TB_83원/1GB_330,000","2x4TB_81원/1GB_650,000|4TB_83원/1GB_330,000"
3354216,HGST Travelstar 7K1000 7200/32M/해외구매,"1TB, HTS721010A9E630_92원/1GB_92,000","1TB, HTS721010A9E630_92원/1GB_92,000","1TB, HTS721010A9E630_92원/1GB_92,000","1TB, HTS721010A9E630_92원/1GB_92,000","1TB, HTS721010A9E630_92원/1GB_92,000","1TB, HTS721010A9E630_92원/1GB_92,000","1TB, HTS721010A9E630_105원/1GB_105,000"
1943077,HGST Travelstar Z7K500 7200/32M/노트북용,0,0,0,"500GB, HTS725050A7E630_108원/1GB_53,960","500GB, HTS725050A7E630_108원/1GB_53,960","500GB, HTS725050A7E630_108원/1GB_53,960","500GB, HTS725050A7E630_108원/1GB_53,960"
3940951,MARSHAL MAL34000SA-T72 7200/64M/리퍼비시,"4TB_28원/1GB_113,990","4TB_31원/1GB_123,990","4TB_31원/1GB_123,990","4TB_31원/1GB_123,990","4TB_31원/1GB_123,990","4TB_31원/1GB_123,990","4TB_31원/1GB_123,990"
6452004,Seagate BarraCuda 5400/128M/노트북용,"4TB, ST4000LM024_87원/1GB_349,990|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990","4TB, ST4000LM024_87원/1GB_349,990|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990","4TB, ST4000LM024_73원/1GB_290,000|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990","4TB, ST4000LM024_73원/1GB_290,000|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990","4TB, ST4000LM024_73원/1GB_290,000|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990","4TB, ST4000LM024_88원/1GB_350,000|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990","4TB, ST4000LM024_88원/1GB_350,000|2TB, ST2000LM015_65원/1GB_129,000|1TB, ST1000LM048_99원/1GB_99,000|500GB, ST500LM030_178원/1GB_88,990"
6451870,Seagate BarraCuda 5400/128M/노트북용/해외구매,"5TB, ST5000LM000_76원/1GB_378,870|4TB, ST4000LM024_74원/1GB_295,700|2TB, ST2000LM015_87원/1GB_173,290|1TB, ST1000LM048_109원/1GB_108,990",0,"5TB, ST5000LM000_76원/1GB_378,870|4TB, ST4000LM024_74원/1GB_295,460|2TB, ST2000LM015_87원/1GB_173,290|1TB, ST1000LM048_109원/1GB_108,990","5TB, ST5000LM000_76원/1GB_378,870|4TB, ST4000LM024_74원/1GB_295,340|2TB, ST2000LM015_87원/1GB_173,290|1TB, ST1000LM048_109원/1GB_108,990","5TB, ST5000LM000_76원/1GB_378,870|4TB, ST4000LM024_74원/1GB_295,220|2TB, ST2000LM015_87원/1GB_173,290|1TB, ST1000LM048_109원/1GB_108,990","5TB, ST5000LM000_76원/1GB_378,870|4TB, ST4000LM024_74원/1GB_295,100|2TB, ST2000LM015_87원/1GB_173,290|1TB, ST1000LM048_109원/1GB_108,990","5TB, ST5000LM000_76원/1GB_378,870|4TB, ST4000LM024_74원/1GB_294,980|2TB, ST2000LM015_87원/1GB_173,290|1TB, ST1000LM048_109원/1GB_108,990"
5764992,Seagate BarraCuda 5400/256M,"8TB, ST8000DM004_39원/1GB_310,380|6TB, ST6000DM003_41원/1GB_248,000|4TB, ST4000DM004_43원/1GB_170,860|3TB, ST3000DM007_53원/1GB_158,990","8TB, ST8000DM004_38원/1GB_307,940|6TB, ST6000DM003_41원/1GB_248,000|4TB, ST4000DM004_42원/1GB_168,840|3TB, ST3000DM007_53원/1GB_158,990","8TB, ST8000DM004_39원/1GB_309,130|6TB, ST6000DM003_41원/1GB_248,000|4TB, ST4000DM004_43원/1GB_172,490|3TB, ST3000DM007_53원/1GB_158,990","8TB, ST8000DM004_38원/1GB_307,930|6TB, ST6000DM003_41원/1GB_248,970|4TB, ST4000DM004_43원/1GB_172,490|3TB, ST3000DM007_53원/1GB_158,990","8TB, ST8000DM004_39원/1GB_309,130|6TB, ST6000DM003_41원/1GB_248,970|4TB, ST4000DM004_43원/1GB_172,490|3TB, ST3000DM007_53원/1GB_158,990","8TB, ST8000DM004_38원/1GB_306,200|6TB, ST6000DM003_41원/1GB_248,970|4TB, ST4000DM004_42원/1GB_168,910|3TB, ST3000DM007_53원/1GB_158,990","8TB, ST8000DM004_38원/1GB_306,090|6TB, ST6000DM003_41원/1GB_248,970|4TB, ST4000DM004_42원/1GB_168,820|3TB, ST3000DM007_53원/1GB_158,990"
9721383,Seagate BarraCuda 5400/256M/해외구매,"8TB, ST8000DM004_26원/1GB_204,420|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_31원/1GB_125,770|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500","8TB, ST8000DM004_26원/1GB_204,420|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_31원/1GB_125,770|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500","8TB, ST8000DM004_27원/1GB_212,630|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_32원/1GB_128,600|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500","8TB, ST8000DM004_26원/1GB_211,180|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_32원/1GB_128,600|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500","8TB, ST8000DM004_26원/1GB_209,950|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_32원/1GB_128,600|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500","8TB, ST8000DM004_26원/1GB_208,500|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_32원/1GB_128,600|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500","8TB, ST8000DM004_26원/1GB_207,270|6TB, ST6000DM003_28원/1GB_167,060|4TB, ST4000DM004_32원/1GB_128,600|3TB, ST3000DM007_32원/1GB_97,290|2TB, ST2000DM005_47원/1GB_93,500"
6545078,Seagate BarraCuda 7200/256M,"2TB, ST2000DM008_59원/1GB_118,710|1TB, ST1000DM014_105원/1GB_104,600","2TB, ST2000DM008_58원/1GB_115,000|1TB, ST1000DM014_99원/1GB_99,000","2TB, ST2000DM008_59원/1GB_118,990|1TB, ST1000DM014_105원/1GB_104,900","2TB, ST2000DM008_59원/1GB_117,740|1TB, ST1000DM014_105원/1GB_104,900","2TB, ST2000DM008_58원/1GB_115,000|1TB, ST1000DM014_105원/1GB_104,900","2TB, ST2000DM008_57원/1GB_114,990|1TB, ST1000DM014_105원/1GB_104,620","2TB, ST2000DM008_57원/1GB_114,940|1TB, ST1000DM014_105원/1GB_104,610"
7533853,Seagate BarraCuda 7200/256M/해외구매,"2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100","2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100","2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100","2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100","2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100","2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100","2TB, ST2000DM008_49원/1GB_98,600|1TB, ST1000DM014_115원/1GB_115,100"
