Id,Name,2026-06-01 14:09:43,2026-06-02 13:48:01,2026-06-03 14:05:19,2026-06-04 14:01:51,2026-06-05 13:36:05,2026-06-06 13:18:24,2026-06-07 13:44:45,2026-06-08 13:50:12,2026-06-09 13:18:14
92357306,1stPlayer NEO87 유무선 기계식,"_레트로_68,000|나이트 퍼플_141,920|스텔라_93,000|_크림 버건디_71,160","_레트로_68,000|나이트 퍼플_141,920|스텔라_96,000|_크림 버건디_71,160","_레트로_68,000|나이트 퍼플_141,920|스텔라_93,000|_크림 버건디_71,160","_레트로_68,000|나이트 퍼플_141,920|스텔라_93,000|_크림 버건디_71,160","_레트로_68,000|나이트 퍼플_141,920|스텔라_96,000|_크림 버건디_71,160","_레트로_68,000|나이트 퍼플_141,920|_스텔라_96,000|크림 버건디_71,160","_레트로_68,000|_나이트 퍼플_141,920|스텔라_99,000|크림 버건디_71,160","_레트로_68,000|_나이트 퍼플_141,920|스텔라_99,000|크림 버건디_71,160","_레트로_67,990|나이트 퍼플_141,920|_스텔라_93,000|크림 버건디_71,160"
97357376,8bitdo Retro 108 유무선 기계식 F 에디션,"159,000","159,000","159,000","159,000","159,000","159,000","159,000","159,000","159,000"
57709394,8bitdo Retro 유무선 기계식 C64 에디션 (해외구매),0,0,0,"91,060","91,060","94,580","94,570","94,570","94,550"
69697262,8bitdo Retro 유무선 기계식 F에디션,0,0,0,0,0,"95,200","95,200","95,200","95,200"
74253509,8bitdo Retro 유무선 기계식 Xbox 에디션,0,0,"해외구매_97,940","해외구매_97,940","해외구매_97,940","해외구매_103,640","해외구매_103,640",0,0
98228084,8bitdo 손목받침대,"해외구매_16,890","해외구매_16,890",0,0,0,0,0,0,0
103751768,AJAZZ AJ-AK01,"59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000"
106692857,AKKO MONSGEEK FUN60 MAX 무선,"_블랙_67,130|_화이트_82,670","_블랙_67,050|_화이트_82,670","_블랙_66,960|_화이트_82,670",0,"_블랙_66,800|_화이트_82,670","_블랙_66,720|_화이트_83,460",0,0,0
106728227,AKKO MONSGEEK FUN60 MAX 무선,0,0,0,0,0,0,0,0,"_블랙_66,810|_화이트_83,460"
76462553,AKKO MONSGEEK FUN60 MAX 유무선 해외구매,0,0,"37,500","37,500","37,500","37,500","37,500",0,0
98075972,AKKO MONSGEEK FUN60 PRO,"_블랙_36,000|_화이트_36,000","_블랙_36,000|_화이트_36,000",0,0,"_블랙_36,000|_화이트_36,000","_블랙_36,000|_화이트_36,000","_블랙_36,000|_화이트_36,000","_블랙_36,000|_화이트_36,000","_블랙_36,000|_화이트_36,000"
106728182,AKKO MONSGEEK FUN60 PRO,0,0,"_블랙_36,000|_화이트_36,000",0,0,0,0,0,0
76462475,AKKO MONSGEEK FUN60 PRO (해외구매),"17,850","17,850",0,0,0,"14,500","14,500","14,500","14,500"
76462496,AKKO MONSGEEK FUN60 PRO 유무선,0,"해외구매_24,500",0,0,0,0,0,0,0
76462442,AKKO MONSGEEK FUN60 유무선,"해외구매_14,500","해외구매_14,500",0,0,0,0,0,0,0
