Id,Name,2020-09-01 09:46:03,2020-09-02 09:41:18,2020-09-03 09:44:35,2020-09-04 09:45:25,2020-09-05 10:21:02,2020-09-07 09:46:16,2020-09-08 09:45:55,2020-09-09 09:46:09,2020-09-10 09:43:06,2020-09-11 09:43:23,2020-09-12 09:45:22,2020-09-13 09:47:51,2020-09-14 09:46:58,2020-09-15 09:46:29,2020-09-16 09:46:38,2020-09-17 09:46:53,2020-09-19 09:46:53,2020-09-20 09:49:34,2020-09-21 09:49:00,2020-09-22 09:48:11,2020-09-23 09:47:57,2020-09-24 09:49:28,2020-09-25 09:49:09,2020-09-26 09:48:31,2020-09-27 09:51:20,2020-09-28 09:50:16,2020-09-29 09:49:46,2020-09-30 09:49:52
3202784,AMD A10 7870K (고다바리),"210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990","210,990"
3412430,AMD A8 7670K (고다바리),"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
9736854,AMD EPYC 7232P (롬),"840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000","840,000"
9736842,AMD EPYC 7252 (롬),"948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970","948,970"
9736833,AMD EPYC 7262 (롬),"1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000","1,070,000"
9736800,AMD EPYC 7272 (롬),"1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730","1,247,730"
9736794,AMD EPYC 7282 (롬),"1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120","1,297,120"
9736752,AMD EPYC 7302 (롬),"1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000","1,830,000"
9736764,AMD EPYC 7302P (롬),"1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810","1,646,810"
9736716,AMD EPYC 7352 (롬),"2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000","2,450,000"
9736692,AMD EPYC 7402 (롬),"3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080","3,556,080"
9736710,AMD EPYC 7402P (롬),"2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920","2,493,920"
9736680,AMD EPYC 7452 (롬),"3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000","3,700,000"
9736653,AMD EPYC 7502 (롬),"5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720","5,186,720"
9736671,AMD EPYC 7502P (롬),"4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980","4,588,980"
9736638,AMD EPYC 7542 (롬),"6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000","6,250,000"
9736614,AMD EPYC 7552 (롬),"8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220","8,030,220"
9736602,AMD EPYC 7642 (롬),"8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000","8,720,000"
9736446,AMD EPYC 7702 (롬),"12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140","12,867,140"
9736539,AMD EPYC 7702P (롬),"8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160","8,828,160"
9736071,AMD EPYC 7742 (롬),"12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000","12,800,000"
4143917,AMD FX 8300 (비쉐라),0,0,0,0,0,"62,100","62,100",0,0,0,0,0,0,"62,100","62,100","62,100","62,100","62,100","62,100","62,100","62,100","62,100","62,100",0,0,0,0,0
5448913,AMD 라이젠 스레드리퍼 1900X (화이트헤븐),"256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790","256,790"
5355163,AMD 라이젠 스레드리퍼 1950X (화이트헤븐),"1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000","1,220,000"
6467045,AMD 라이젠 스레드리퍼 2950X (콜팩스),"994,280","994,280","994,280","994,280","1,013,040","1,013,040","1,013,040","1,013,040","1,013,040","1,033,500","1,033,500","1,033,500","1,033,500","1,033,500","1,010,560","956,900","956,900","956,900","956,900","956,900","956,900","956,900","956,900","956,900","956,900","956,900","956,900","956,900"
6835381,AMD 라이젠 스레드리퍼 2970WX (콜팩스),"1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400","1,766,400"
6385810,AMD 라이젠 스레드리퍼 2990WX (콜팩스),"2,645,000","2,645,000","2,645,000","2,225,600","2,225,600","2,225,600","2,225,600","2,225,600","2,225,600","2,645,000","2,645,000","2,645,000","2,645,000","2,645,000","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200","4,079,200"
9996723,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),"1,690,500","1,690,500","1,690,500","1,690,000","1,689,000","1,689,000","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,600","1,653,700","1,653,700","1,653,700","1,653,700","1,653,600","1,653,600","1,653,500","1,653,400","1,653,400","1,653,200","1,653,100","1,653,100"
11035356,AMD 라이젠 스레드리퍼 3960X (캐슬 픽),"1,690,500","1,690,500","1,690,500","1,690,000","1,689,000","1,689,000","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,800","1,658,600","1,653,700","1,653,700","1,653,700","1,653,700","1,653,600","1,653,600","1,653,500","1,653,400","1,653,400","1,653,200","1,653,100","1,653,100"
9996756,AMD 라이젠 스레드리퍼 3970X (캐슬 픽),"2,424,700","2,424,600","2,424,600","2,424,600","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,424,500","2,409,000","2,408,900","2,408,900","2,408,900","2,408,800","2,408,800","2,408,800"
10518636,AMD 라이젠 스레드리퍼 3990X (캐슬 픽),"4,754,300","4,754,300","4,754,300","4,754,300","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,725,900","4,706,900","4,706,900","4,706,900","4,706,900","4,706,900","4,705,100","4,705,000","4,705,000","4,705,000","4,705,000","4,705,000","4,705,000"
11876290,AMD 라이젠3 PRO 4350G (르누아르),"233,000","185,500","233,000","233,000","233,000","185,500","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","233,000","187,000","183,500","183,500","183,500","183,300","183,000","182,800"
5352206,AMD 라이젠3-1세대 1200 (서밋 릿지),"168,850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5884539,AMD 라이젠3-1세대 2200G (레이븐 릿지),"125,000","125,000","125,000","125,000","125,000","125,000","125,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000","160,000"
8460291,AMD 라이젠3-2세대 3200G (피카소),"103,000","103,200","106,000","109,000","112,000","113,400","117,000","120,000","123,000","128,000","128,000","128,000","128,000","138,000","140,000","137,000","141,000","141,000","141,000","142,200","146,000","139,850","139,850","141,000","141,000","141,000","141,000","142,200"
11021694,AMD 라이젠3-2세대 3200G (피카소),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11236047,AMD 라이젠3-3세대 3100 (마티스),"124,900","124,900","124,900","124,900","124,600","124,600","124,600","124,600","124,500","124,500","124,500","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","122,850","124,100"
12200864,AMD 라이젠3-3세대 3100 (마티스),0,0,0,0,"124,600","124,600","124,600","124,600","124,500","124,500","124,500","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","124,400","122,850","124,100"
