Id,Name,2021-02-01 10:04:31,2021-02-02 09:58:08,2021-02-03 09:53:31,2021-02-04 09:49:46,2021-02-05 09:50:18,2021-02-06 09:50:13,2021-02-07 09:53:00,2021-02-08 09:50:19,2021-02-09 09:50:52,2021-02-10 09:50:19,2021-02-11 09:50:40,2021-02-12 09:51:34,2021-02-13 09:50:40,2021-02-14 09:53:13,2021-02-15 09:51:52,2021-02-16 09:51:34,2021-02-17 09:51:25,2021-02-18 09:51:56,2021-02-19 09:51:52,2021-02-20 09:51:21,2021-02-21 09:54:22,2021-02-22 09:52:47,2021-02-23 09:52:30,2021-02-24 09:52:35,2021-02-25 09:52:59,2021-02-26 09:53:51,2021-02-27 09:53:01,2021-02-28 09:56:02
11477466,ACER CB272U,"299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000","299,000",0,"298,990","292,820","279,300"
12704399,ACER CB342CK C,"689,000","689,000","675,630","689,000","689,000","675,630","675,630","689,000","689,000","689,000","689,990","689,990","690,000","690,000","690,000","690,000","690,000","690,000","690,000","690,000","690,000","690,000","690,000","689,990","685,770","685,770","675,060","675,060"
11805406,ACER ConceptD CM2241W,0,0,0,0,0,0,0,0,0,0,0,0,0,"483,240","483,240","488,490","488,610","488,610","488,610","489,840","489,840",0,0,0,0,0,0,0
12468677,ACER NITRO XV242Y P,"327,950","327,770","327,650","327,410","327,290","327,120","326,930","326,930","326,690",0,0,"326,210","326,160","339,030","339,030","339,030","339,030","339,030","339,030","339,030","339,030","339,030","339,030","338,970","338,780","338,600","338,370","338,360"
12783371,ACER NITRO XV270P,"398,650","398,650","398,590","398,590","398,940","398,760","398,760","398,640","398,580","398,400","398,400","398,220","398,220","398,100","397,920","397,920","397,790","397,740","382,870","382,870","382,870","382,870","382,870","399,000","399,000","399,000","398,890","398,880"
12771062,ACER NITRO XV272U V,"549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000","549,000"
11568812,ACER R241Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109,000","109,000","109,000","109,000","109,000"
11580734,ACER R271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"153,250","153,250","153,250",0,0
6374344,ACER 프레데터 X27,"1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000","1,949,000"
12778916,ACER 프레데터 X38 P,"2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,030","2,536,040","2,536,040","2,536,040","2,536,040","2,536,040","2,536,040","2,536,040","2,540,430","2,540,430","2,540,430","2,540,430","2,540,420","2,540,420","2,540,420","2,540,420","2,540,420"
10909401,ACER 프레데터 XB253Q GP,"344,550","344,370","344,370","344,050","343,890","343,700","343,460","343,290","343,100","342,860","343,210","349,730","349,730","368,950","368,950","368,950","368,950","368,900","368,900","368,900","368,900","368,900","368,900","368,780","353,440","353,210","353,220","352,980"
12532424,ACER 프레데터 XB253Q GX,"463,540","463,490","463,390","465,350","465,300","465,250","465,200","465,150","465,100","465,100","465,000","464,850","464,800","464,700","464,600","464,500","464,390","464,160","463,980","463,800","463,570","463,380","463,140","462,960","462,730","462,540","462,310","462,120"
13323818,ACER 프레데터 XB253Q GX (리퍼비시),0,0,0,0,0,0,0,0,0,0,0,0,0,0,"386,400","920,000","920,000","920,000",0,0,0,0,0,0,0,0,0,0
