Id,Name,2021-07-01 10:05:38,2021-07-02 10:01:56,2021-07-03 10:00:53,2021-07-04 10:03:50,2021-07-05 10:00:56,2021-07-06 10:05:27,2021-07-07 10:05:22,2021-07-08 10:02:18,2021-07-09 10:03:39,2021-07-10 10:01:29,2021-07-11 10:08:38,2021-07-12 10:02:10,2021-07-13 10:05:07,2021-07-14 10:00:50,2021-07-15 10:05:44,2021-07-16 10:07:04,2021-07-17 10:02:00,2021-07-18 10:05:46,2021-07-19 10:04:27,2021-07-20 10:07:27,2021-07-21 10:05:07,2021-07-22 10:05:52,2021-07-23 10:04:24,2021-07-24 10:04:18,2021-07-25 10:05:43,2021-07-26 10:03:28,2021-07-27 10:05:11,2021-07-28 10:06:35,2021-07-29 10:02:45,2021-07-30 10:05:46,2021-07-31 10:04:01
11845294,3RSYS APB BAR,"8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,560","8,560","8,560","8,560","8,560","8,560","8,560","8,560","8,560","8,560","8,560","8,560","8,560"
9637392,3RSYS APB BAR 35,"13,430","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,450","13,330","13,200","13,090","13,060","13,030","12,990","12,960","12,840"
12329015,3RSYS FX FAN 120 RGB,"5,970","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","5,810","5,800"
12329045,3RSYS FX FAN 140 RGB,"7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100","7,100"
6560889,3RSYS ICEAGE G3 380 그래픽카드 지지대,"18,330","18,300","18,210","18,190","18,180","18,070","17,970","17,940","17,830","17,820","20,060","19,970","19,940","19,820","19,730","19,670","19,650","19,520","19,410","19,280","19,170","19,040","18,920","18,810","18,680","18,560","18,440","18,410","20,120","20,010","20,000"
7798183,3RSYS ICEAGE G4 그래픽카드 지지대,"11,560","11,560","11,560","11,560","11,560","11,360","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560","11,560"
13067462,3RSYS ICEAGE G5 이정표 그래픽카드 지지대,"9,360","9,340","9,320","9,320","9,320","9,290","9,260","9,260","9,900","9,260","9,230","9,190","9,160","9,150","9,900","9,900","9,900","9,360","9,330","9,300","9,270","9,260","9,260","9,260","9,260","9,260","9,260","9,260","9,260","9,260","9,260"
3662491,3RSYS ICEAIR A-2 PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,220",0,0,0,0,0,0,0,0
10114134,3RSYS LX FAN 2 RGB,"6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200","6,200"
7716196,3RSYS LX FAN RGB,"5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380","5,380"
9775374,3RSYS MOON FAN 2 200 RGB,"14,920","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","14,250","15,000","15,000","15,000","15,000","14,900","14,810","14,810"
11813794,3RSYS PF-12025,"10,950","11,000","11,000","10,800","11,000","10,800","11,000","11,000","11,000","11,000","11,000","11,000","11,000","11,000","10,800","10,800","11,000","10,800","11,000","11,000","11,000","11,000","11,000","11,000","10,790","10,790","10,790","10,790","10,790","10,790","10,790"
14494886,3RSYS PF-12025 WHITE,"11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770"
13866314,3RSYS PH-12025 ARGB,"12,470","12,470","12,470","12,470","12,470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,470","12,470"
