Id,Name,2021-08-25 10:09:59,2021-08-26 10:07:43,2021-08-27 10:12:52,2021-08-28 10:02:07,2021-08-29 10:08:03,2021-08-30 10:04:25,2021-08-31 10:07:03
14408336,ADATA XPG XENIA Xe i5,"SSD 1TB_1,917,400","SSD 1TB_1,917,170","SSD 1TB_1,916,930","SSD 1TB_1,916,690","SSD 1TB_1,916,440","SSD 1TB_1,916,200","SSD 1TB_1,916,020"
14408393,ADATA XPG XENIA Xe i7,"SSD 1TB_2,227,230","SSD 1TB_2,226,980","SSD 1TB_2,226,740","SSD 1TB_2,226,500","SSD 1TB_2,226,260","SSD 1TB_2,226,200","SSD 1TB_2,226,030"
8917790,APPLE 2019 맥북에어 MVFM2KH/A,"SSD 128GB_1,316,270",0,0,0,0,0,0
8106388,APPLE 2019 맥북프로13 MV9A2KH/A,"SSD 512GB_1,424,040","SSD 512GB_1,424,040",0,0,0,0,0
9911355,APPLE 2019 맥북프로16 MVVJ2KH/A,"16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,543,500","16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,543,500","16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,543,500","16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,543,500","16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,730,000","16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,543,500","16GB, SSD 512GB_3,030,490|32GB, SSD 512GB_3,543,500"
9911439,APPLE 2019 맥북프로16 MVVK2KH/A,"16GB, SSD 1TB_3,288,720|32GB, SSD 1TB_4,060,800","16GB, SSD 1TB_3,288,710|32GB, SSD 1TB_4,040,000","16GB, SSD 1TB_3,288,700|32GB, SSD 1TB_4,040,000","16GB, SSD 1TB_3,288,690|32GB, SSD 1TB_4,040,000","16GB, SSD 1TB_3,288,690|32GB, SSD 1TB_4,040,000","16GB, SSD 1TB_3,288,690|32GB, SSD 1TB_4,040,000","16GB, SSD 1TB_3,288,680|32GB, SSD 1TB_4,040,000"
9911160,APPLE 2019 맥북프로16 MVVL2KH/A,0,0,"SSD 512GB_2,998,380|중고_일시품절",0,0,0,0
12660491,APPLE 2020 맥북에어 MGN63KH/A,"8GB, SSD 256GB_1,120,190|16GB, SSD 256GB_1,482,000","8GB, SSD 256GB_1,120,540|16GB, SSD 256GB_1,482,000","8GB, SSD 256GB_1,120,540|16GB, SSD 256GB_1,482,000","8GB, SSD 256GB_1,177,440|16GB, SSD 256GB_1,464,390","8GB, SSD 256GB_1,177,440|16GB, SSD 256GB_1,423,880","8GB, SSD 256GB_1,177,440|16GB, SSD 256GB_1,423,880","8GB, SSD 256GB_1,177,440|16GB, SSD 256GB_1,423,880"
12660458,APPLE 2020 맥북에어 MGN73KH/A,"8GB, SSD 512GB_1,485,190|16GB, SSD 512GB_1,805,000","8GB, SSD 512GB_1,485,190|16GB, SSD 512GB_1,805,000","8GB, SSD 512GB_1,487,760|16GB, SSD 512GB_1,805,000","8GB, SSD 512GB_1,487,760|16GB, SSD 512GB_1,805,000","8GB, SSD 512GB_1,487,760|16GB, SSD 512GB_1,805,000","8GB, SSD 512GB_1,487,770|16GB, SSD 512GB_1,805,000","8GB, SSD 512GB_1,487,770|16GB, SSD 512GB_1,786,000"
12660506,APPLE 2020 맥북에어 MGN93KH/A,"8GB, SSD 256GB_1,174,840|16GB, SSD 256GB_1,482,000","8GB, SSD 256GB_1,174,830|16GB, SSD 256GB_1,482,000","8GB, SSD 256GB_1,174,820|16GB, SSD 256GB_1,482,000","8GB, SSD 256GB_1,174,810|16GB, SSD 256GB_1,464,390","8GB, SSD 256GB_1,174,810|16GB, SSD 256GB_1,423,880","8GB, SSD 256GB_1,186,980|16GB, SSD 256GB_1,423,880","8GB, SSD 256GB_1,177,440|16GB, SSD 256GB_1,423,870"
12660503,APPLE 2020 맥북에어 MGND3KH/A,0,"8GB, SSD 256GB_1,186,710|16GB, SSD 256GB_1,496,000|중고_일시품절|해외구매_일시품절","8GB, SSD 256GB_1,186,700|16GB, SSD 256GB_1,496,000|중고_일시품절|해외구매_일시품절","8GB, SSD 256GB_1,186,980|16GB, SSD 256GB_1,496,000|중고_일시품절|해외구매_일시품절","8GB, SSD 256GB_1,186,980|16GB, SSD 256GB_1,496,000|중고_일시품절|해외구매_일시품절","8GB, SSD 256GB_1,186,980|16GB, SSD 256GB_1,496,000|중고_일시품절|해외구매_일시품절","8GB, SSD 256GB_1,186,980|16GB, SSD 256GB_1,496,000|중고_일시품절|해외구매_일시품절"
12660467,APPLE 2020 맥북에어 MGNE3KH/A,"8GB, SSD 512GB_1,502,000|16GB, SSD 512GB_1,819,000",0,0,0,0,0,0
10872123,APPLE 2020 맥북에어 MVH22KH/A,"SSD 512GB_1,138,310","SSD 512GB_1,138,310",0,0,0,0,0
11217507,APPLE 2020 맥북프로13 MWP42KH/A,0,0,0,0,"16GB, SSD 512GB_2,010,000|32GB, SSD 512GB_2,855,500","16GB, SSD 512GB_2,010,000|32GB, SSD 512GB_2,855,500","16GB, SSD 512GB_2,010,000|32GB, SSD 512GB_2,880,000"
12660371,APPLE 2020 맥북프로13 MYD82KH/A,"8GB, SSD 256GB_1,469,590|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000","8GB, SSD 256GB_1,469,580|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000","8GB, SSD 256GB_1,469,570|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000","8GB, SSD 256GB_1,468,990|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000","8GB, SSD 256GB_1,468,990|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000","8GB, SSD 256GB_1,468,990|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000","8GB, SSD 256GB_1,468,980|8GB, SSD 1TB_2,130,000|16GB, SSD 256GB_1,862,000"
12660356,APPLE 2020 맥북프로13 MYD92KH/A,"8GB. SSD 512GB_1,632,810|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절","8GB. SSD 512GB_1,632,800|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절","8GB. SSD 512GB_1,632,790|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절","8GB. SSD 512GB_1,632,780|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절","8GB. SSD 512GB_1,632,780|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절","8GB. SSD 512GB_1,632,780|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절","8GB. SSD 512GB_1,632,550|16GB, SSD 512GB_2,118,500|16GB, SSD 1TB_2,400,000|중고_일시품절"
12660392,APPLE 2020 맥북프로13 MYDA2KH/A,0,0,0,0,0,0,"8GB, SSD 256GB_1,489,990|16GB, SSD 256GB_1,881,600|중고_1,600,000"
13510190,ASUS D515UA-BQ022,"SSD 256GB_569,000|SSD 500GB_754,850|SSD 1TB_828,860","SSD 256GB_569,000|SSD 500GB_754,080|SSD 1TB_828,080","SSD 256GB_569,000|SSD 500GB_754,710|SSD 1TB_828,920","SSD 256GB_569,000|SSD 500GB_754,990|SSD 1TB_828,990","SSD 256GB_569,000|SSD 500GB_754,920|SSD 1TB_828,920","SSD 256GB_569,000|SSD 500GB_754,920|SSD 1TB_828,920","SSD 256GB_569,000|SSD 500GB_724,790|SSD 1TB_815,190"
14657978,ASUS D515UA-BQ022 WIN10 16GB램,0,0,0,0,0,0,"SSD 500GB_810,280|SSD 1TB_938,990|1TB + SSD 500GB_866,680|1TB + SSD 1TB_998,990"
14816744,ASUS D515UA-BQ236,"SSD 256GB_499,000","SSD 256GB_499,000","SSD 256GB_499,000","SSD 256GB_499,000","SSD 256GB_499,000","SSD 256GB_499,000","SSD 256GB_508,070"
14480432,ASUS D515UA-CP103,0,0,0,0,0,0,"SSD 512GB_649,000"
15056033,ASUS E210KA-GJ053TS,"eMMC 64GB_318,940","eMMC 64GB_318,940",0,0,"eMMC 64GB_318,940","eMMC 64GB_318,940","eMMC 64GB_318,940"
13067108,ASUS E210MA-GJ109TS,"eMMC 64GB_274,670","eMMC 64GB_274,670","eMMC 64GB_275,800","eMMC 64GB_275,520","eMMC 64GB_275,230","eMMC 64GB_274,950","eMMC 64GB_274,880"
15106250,ASUS E410MA-EB1496TS,0,0,0,"SSD 128GB_398,940","SSD 128GB_398,940","SSD 128GB_398,940","SSD 128GB_398,940"
12475067,ASUS E410MA-EB408TS,0,0,0,0,0,0,"SSD 128GB_458,740|SSD 250GB_478,990|SSD 500GB_525,450|SSD 1TB_581,850"
13077629,ASUS E410MA-EB511T,0,0,"SSD 128GB_368,570",0,0,0,0
13312205,ASUS E410MA-EK143TS,0,0,0,"SSD 128GB_361,210|SSD 250GB_483,990|SSD 500GB_551,890",0,0,"SSD 128GB_361,020|SSD 250GB_483,990|SSD 500GB_551,890"
15109613,ASUS E510KA-BQ110TS,0,0,0,"eMMC 128GB_398,940","eMMC 128GB_398,940","eMMC 128GB_398,940","eMMC 128GB_398,940"
14595881,ASUS E510MA-BQ160,"SSD 256GB_368,760|SSD 500GB_459,000","SSD 256GB_368,660|SSD 500GB_459,000","SSD 256GB_368,480|SSD 500GB_459,000",0,0,0,0
14870273,ASUS ExpertBook B1 B1400CEAE-EB1050R,0,"SSD 256GB_996,480",0,0,0,0,0
14805428,ASUS ExpertBook B1 B1500CEAE-BQ0799,"SSD 256GB_779,000|SSD 500GB_928,990|SSD 1TB_999,000|SSD 2TB_1,236,740|SSD 250GB + SSD 256GB_889,000|SSD 500GB + SSD 256GB_929,000|SSD 1TB + SSD 256GB_989,000|500GB + SSD 256GB_936,010|1TB + SSD 256GB_899,000|2TB + SSD 256GB_1,029,380","SSD 256GB_799,000|SSD 500GB_928,990|SSD 1TB_998,990|SSD 2TB_1,236,670|SSD 250GB + SSD 256GB_888,990|SSD 500GB + SSD 256GB_928,990|SSD 1TB + SSD 256GB_988,990|500GB + SSD 256GB_935,950|1TB + SSD 256GB_898,990|2TB + SSD 256GB_1,029,100","SSD 256GB_798,940|SSD 500GB_928,990|SSD 1TB_998,990|SSD 2TB_1,236,400|SSD 250GB + SSD 256GB_888,990|SSD 500GB + SSD 256GB_928,990|SSD 1TB + SSD 256GB_988,990|500GB + SSD 256GB_935,940|1TB + SSD 256GB_898,990|2TB + SSD 256GB_1,028,820","SSD 256GB_798,940|SSD 500GB_928,990|SSD 1TB_998,990|SSD 2TB_1,236,180|SSD 250GB + SSD 256GB_888,990|SSD 500GB + SSD 256GB_928,990|SSD 1TB + SSD 256GB_988,990|500GB + SSD 256GB_935,670|1TB + SSD 256GB_898,990|2TB + SSD 256GB_1,055,790","SSD 256GB_798,940|SSD 500GB_928,990|SSD 1TB_998,990|SSD 2TB_1,235,900|SSD 250GB + SSD 256GB_888,990|SSD 500GB + SSD 256GB_928,990|SSD 1TB + SSD 256GB_988,990|500GB + SSD 256GB_935,380|1TB + SSD 256GB_898,990|2TB + SSD 256GB_1,055,500",0,0
14928020,ASUS ExpertBook B1 B1500CEAE-BQ0799 16GB램,"SSD 256GB_799,000|SSD 500GB_998,990|SSD 1TB_1,088,990","SSD 256GB_799,000|SSD 500GB_998,990|SSD 1TB_1,088,990","SSD 256GB_799,000|SSD 500GB_998,990|SSD 1TB_1,088,990","SSD 256GB_799,000|SSD 500GB_998,990|SSD 1TB_1,088,990",0,0,0
12831806,ASUS ExpertBook B9 B9400CEA-HM0049R,0,0,0,"SSD 1TB_1,996,060","SSD 1TB_1,996,060","SSD 1TB_1,996,000","SSD 1TB_1,995,820"
