Id,Name,2023-02-01 10:50:56,2023-02-02 10:41:11,2023-02-03 10:43:11,2023-02-04 10:30:39,2023-02-05 10:45:05,2023-02-06 10:30:32,2023-02-07 10:38:00,2023-02-08 10:41:17,2023-02-09 10:39:48,2023-02-10 10:45:47,2023-02-11 10:29:12,2023-02-12 10:43:36,2023-02-13 10:44:25,2023-02-14 10:43:55,2023-02-15 10:43:57,2023-02-16 10:42:46,2023-02-17 10:45:33,2023-02-18 10:41:04,2023-02-19 10:44:14,2023-02-20 10:43:43,2023-02-21 10:45:41,2023-02-22 10:41:06,2023-02-23 10:39:07,2023-02-24 10:41:32,2023-02-25 10:42:13,2023-02-26 10:49:37,2023-02-27 10:43:15,2023-02-28 10:42:48
11845318,3RSYS APB BAR,"280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11845294,3RSYS APB BAR,0,0,"280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,460|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000","280mm_8,050|410mm_9,000",0,"280mm_8,050|410mm_9,000","280mm_8,140|410mm_9,000"
9637392,3RSYS APB BAR 35,"12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600","12,600"
12329015,3RSYS FX FAN 120 RGB,0,"5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500"
12329045,3RSYS FX FAN 140 RGB,"9,490","9,490","9,490","9,490","9,490","9,490","9,490","9,490","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550","8,550",일시품절,일시품절,일시품절
7798183,3RSYS ICEAGE G4 그래픽카드 지지대,"BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900","BLACK_13,900|SILVER_13,900"
13067462,3RSYS ICEAGE G5 이정표 그래픽카드 지지대,"블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_8,180|실버_8,180","블랙_8,250|골드_7,860|실버_8,000","블랙_8,250|골드_7,860|실버_8,000","블랙_8,250|골드_7,860|실버_8,000","블랙_8,250|골드_7,860|실버_8,000","블랙_8,250|골드_7,860|실버_8,000","블랙_8,250|골드_7,860|실버_8,000","블랙_8,250|골드_7,860|실버_8,000","블랙_8,000|골드_7,860|실버_8,000","블랙_8,000|골드_7,860|실버_8,000","블랙_8,000|골드_7,860|실버_8,000","블랙_8,000|골드_7,860|실버_8,000"
3662491,3RSYS ICEAIR A-2 PLUS,"블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890","블랙_7,220|화이트_5,890"
10441152,3RSYS LX FAN RGB,"PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310","PINK_5,310",0,"PINK_5,310","PINK_5,310"
9775374,3RSYS MOON FAN 2 200 RGB,"30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130","30,130",0
