Id,Name,2023-06-01 11:10:45,2023-06-02 10:52:57,2023-06-03 10:51:07,2023-06-04 11:06:18,2023-06-05 10:53:00,2023-06-06 10:56:08,2023-06-07 10:55:31,2023-06-08 10:53:21,2023-06-09 10:56:31,2023-06-10 10:45:19,2023-06-11 11:01:03,2023-06-12 10:54:06,2023-06-13 10:47:18,2023-06-14 10:46:22,2023-06-15 10:44:49,2023-06-16 10:46:55,2023-06-17 10:37:18,2023-06-18 10:59:38,2023-06-19 10:46:50,2023-06-20 10:35:24,2023-06-21 10:43:17,2023-06-22 10:49:07,2023-06-23 10:57:45,2023-06-24 10:56:29,2023-06-25 11:07:49,2023-06-26 11:03:00,2023-06-27 10:59:34,2023-06-28 11:01:27,2023-06-29 10:47:59,2023-06-30 10:52:27
15323429,+0asis Cool 600SB6P V2.3 벌크,"17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000","17,000",0,"17,000"
15362705,+0asis Cool 700GP V2.3 벌크,"29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500",0,"29,500"
1842030,+PLUS ATX GT-5000S 벌크,"16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330",0,0,0,0,0,0,0,0,0,"16,330","16,330","16,330","16,330","16,330",0,"16,330"
5240215,+PLUS ATX GT-6000S 벌크,0,0,"17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120",0,"17,120"
2760128,+PLUS ATX PLUS GT-5000L 벌크,"17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810","17,810",0,"17,810"
12690218,3RSYS AK 500S 80PLUS STANDARD 230V EU,"45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000",0,"45,000"
12690239,3RSYS AK 600S 80PLUS STANDARD 230V EU,"52,000","52,000","50,780","50,780","50,780","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000","52,000",0,"52,000"
12690251,3RSYS AK 700S 80PLUS STANDARD 230V EU,"59,000","59,000","57,620","57,620","57,620","57,620","57,620","57,620","57,620","57,620","57,620","57,620","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000",0,"59,000"
12838997,3RSYS AK 800S 80PLUS STANDARD 230V EU,"67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","66,280","66,280","66,280","66,280","66,280",0,"67,000"
18698132,3RSYS FORCE 500W,"33,910","33,910","33,910","33,910","33,910","33,910","33,910","33,910","33,910","33,910","33,910","33,910","35,530","35,530","35,530","35,530","35,530","35,530","35,530","35,290","35,290","34,940","34,940","34,600","34,600","34,600","34,600","34,260",0,"35,530"
18698168,3RSYS FORCE 600W,"40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920","40,920",0,"40,920"
17145116,3RSYS TEAMMOST TM 1000W 80PLUS BRONZE 230V EU,"102,000","102,000","102,000","101,900","101,900","102,000","102,000","102,000","102,000","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900","101,900",0,"101,900"
17144888,3RSYS TEAMMOST TM 750W 80PLUS BRONZE 230V EU,"65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","65,000","64,940","64,940","64,940","64,940","64,940","64,940",0,"64,940"
17145053,3RSYS TEAMMOST TM 850W 80PLUS BRONZE 230V EU,"77,000","77,000","77,000","77,000","77,000","77,000","77,000","77,000","77,000","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400","79,400",0,"79,400"
10346316,ABB코리아 UPS PowerValue 11T G2 1 kVA B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"420,000"
11576765,ADATA XPG CORE REACTOR 650W GOLD,0,0,"126,390",0,0,"126,390","126,390","126,390","126,390","126,390","126,390","126,390","126,390","126,390","126,390",0,0,0,0,0,0,0,0,"126,390","126,390","126,390","126,390","126,390",0,"72,280"
11576855,ADATA XPG CORE REACTOR 750W GOLD,"142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100","142,100",0,"142,100"
9802053,ANIX AXP 600W 80PLUS BRONZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,800","46,800","46,800",0,0,0,0
14705492,ANIX 듀얼파워 커넥터,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,360","4,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6378685,ANP ATX NEW 400,"31,520","31,520","31,520","31,520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6963424,ANP SUNGHO ATX 300W 85,0,0,0,0,0,0,0,0,0,0,0,"23,250","23,250","23,250","23,250","23,250","23,250",0,0,0,0,0,0,0,0,"23,250","23,250",0,0,0
2012440,AONE 500K 벌크,"17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,660","17,650","17,650","17,650","17,650","17,650","17,650","17,650",0,"17,650"
3212151,AONE 500MX V2,"19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000",0,"19,000"
2459011,AONE 500P KC,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000",0,"24,000"
3099419,AONE 500S KC,"16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740","16,740",0,"16,740"
14759639,AONE 500S KC (벌크),"17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990","17,990",0,"17,990"
