Id,Name,2023-10-01 10:19:38,2023-10-02 10:11:27,2023-10-03 10:11:39,2023-10-04 10:12:37,2023-10-05 10:11:13,2023-10-06 10:11:09,2023-10-07 10:10:15,2023-10-08 10:15:27,2023-10-09 10:11:33,2023-10-10 10:10:35,2023-10-11 10:10:49,2023-10-12 10:09:32,2023-10-13 10:12:55,2023-10-14 10:09:52,2023-10-15 10:16:30,2023-10-16 10:13:00,2023-10-17 10:11:46,2023-10-18 10:11:34,2023-10-19 10:11:15,2023-10-20 10:11:02,2023-10-21 10:09:11,2023-10-22 10:16:19,2023-10-23 10:11:24,2023-10-24 10:11:30,2023-10-25 10:10:54,2023-10-26 10:09:45,2023-10-27 10:09:57,2023-10-28 10:08:33,2023-10-29 10:15:33,2023-10-30 10:11:46,2023-10-31 10:11:49
19704017,AFOX IH110D4-MA2-V2 에즈윈,"84,730","84,730","84,230","84,230","84,230","84,610","84,610","84,650","85,080","85,580","84,970","84,880","84,850","84,320","84,260","84,200","84,150","83,890","83,880","84,130","84,130","84,130","84,130","81,430","84,630","84,630","84,630","84,630","84,630","84,630","84,630"
19995881,AFOX IH310C-MA6-V4 에즈윈,"73,260","73,260","72,450","72,450","74,330","74,320","74,740","74,060","73,260","73,260","73,910","74,870","74,060","73,260","72,450","73,490","74,060","74,050","73,970","73,950","74,000","73,900","73,900","72,280","72,280","74,870","77,160","74,770","73,930","74,770","74,870"
14043278,AFOX IH61-MA5-V2 에즈윈,일시품절,일시품절,일시품절,일시품절,일시품절,일시품절,"300,000",일시품절,일시품절,일시품절,"300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000",일시품절,일시품절,일시품절,일시품절,일시품절,"300,000","300,000","300,000","300,000",일시품절,"300,000"
7449106,ASRock A320M-DVS R4.0 디앤디컴 (벌크),"116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720","116,720"
10864752,ASRock A320M-HDVP 디앤디컴,"94,000","94,000","94,000","94,000","94,000","94,000","94,000","94,000","94,000","94,000","75,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000","85,000"
18403331,ASRock A520M-HDV 대원씨티에스,"71,034","71,034","71,034","71,034","71,610","72,070","72,070","72,070","72,070","72,070","72,070","72,070","72,060","72,060","71,970","72,060","71,990","73,050","72,930","72,830","72,710","72,620","72,590","72,710","72,140","72,720","72,670","72,510","72,510","72,510","72,510"
21695969,ASRock A520M-HDV 대원씨티에스 (벌크),"70,130","70,130","70,520","70,520","70,480","70,490","70,490","70,490","70,490","70,490","70,480","70,220","70,170","70,120","70,030","70,010","71,770","74,030","74,030","71,790","71,790","71,790","47,710","72,730","73,230","71,800","71,800","71,460","73,710","71,800","71,880"
12092663,ASRock A520M-HDV 디앤디컴,"73,478","73,478","73,478","73,478","73,478","73,478","73,478","73,478","73,478","73,478","77,700","77,390","77,360","77,360","77,360","77,360","77,390","74,490","74,490","74,490","74,490","74,480","74,490","74,490","74,490","74,490","74,490","76,980","76,960","76,910","76,990"
12130286,ASRock A520M-HDV 에즈윈,"77,030","75,000","74,500","74,500","76,940","76,840","75,410","75,410","75,000","75,000","77,030","77,030","77,030","76,530","76,530","75,000","74,160","74,090","74,090","74,930","74,430","74,330","74,930","73,080","73,080","74,090","74,930","74,060","74,830","74,090","74,090"
25213067,ASRock A520M-HDV 에즈윈 (벌크),"75,370","75,370","74,870","75,370","75,370","75,370","74,870","74,870","74,870","75,370","75,370","74,200","75,370","74,870","74,870","75,370","77,000","77,000","77,000","77,000","76,500","76,500","76,500","72,670","72,660","72,660","76,660","76,560","76,560","76,660","76,660"
