Id,Name,2023-12-01 10:25:59,2023-12-02 10:16:06,2023-12-03 10:22:58,2023-12-04 10:20:52,2023-12-05 10:20:53,2023-12-06 10:20:43,2023-12-07 10:19:55,2023-12-08 10:20:27,2023-12-09 10:18:13,2023-12-10 10:24:13,2023-12-11 10:20:27,2023-12-12 10:20:20,2023-12-13 10:20:03,2023-12-14 10:19:29,2023-12-15 10:20:48,2023-12-16 10:19:14,2023-12-17 10:24:02,2023-12-18 10:20:47,2023-12-19 10:19:30,2023-12-20 10:06:04,2023-12-21 10:18:05,2023-12-22 10:17:36,2023-12-23 10:15:42,2023-12-24 10:22:49,2023-12-25 10:19:24,2023-12-26 10:16:15,2023-12-27 10:16:54,2023-12-28 10:17:00,2023-12-29 10:06:22,2023-12-30 10:16:27,2023-12-31 10:23:19
4897498,HGST Deskstar NAS 패키지 7200/128M HDN726040ALE614,"4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000","4x4TB_41원/1GB_660,000|2x4TB_42원/1GB_334,000|4TB_42원/1GB_169,000"
4897585,HGST Deskstar NAS 패키지 7200/128M HDN726060ALE614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000",0,0,0,0,"4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000","4x6TB_41원/1GB_980,000|2x6TB_41원/1GB_494,000|6TB_42원/1GB_249,000"
4841049,HGST Deskstar NAS 패키지 7200/128M HDN728080ALE604,"4x8TB_38원/1GB_1,200,000|2x8TB_38원/1GB_610,000|8TB_39원/1GB_309,000","4x8TB_38원/1GB_1,200,000|2x8TB_38원/1GB_610,000|8TB_39원/1GB_309,000","4x8TB_38원/1GB_1,200,000|2x8TB_38원/1GB_610,000|8TB_39원/1GB_309,000","4x8TB_38원/1GB_1,200,000|2x8TB_38원/1GB_610,000|8TB_39원/1GB_309,000","4x8TB_38원/1GB_1,200,000|2x8TB_38원/1GB_610,000|8TB_39원/1GB_309,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000",0,"4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000",0,0,"4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000","4x8TB_45원/1GB_1,440,000|2x8TB_45원/1GB_720,000|8TB_46원/1GB_369,000",0,0
1943072,HGST Travelstar 7K1000 7200/32M/노트북용,0,0,0,0,0,0,0,0,"102원/1GB_HTS721010A9E630, 1TB_101,990","102원/1GB_HTS721010A9E630, 1TB_101,990","104원/1GB_HTS721010A9E630, 1TB_104,160",0,"100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","109원/1GB_HTS721010A9E630, 1TB_108,500","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820","100원/1GB_HTS721010A9E630, 1TB_99,820",0,0,"109원/1GB_HTS721010A9E630, 1TB_108,500","99원/1GB_HTS721010A9E630, 1TB_98,740","99원/1GB_HTS721010A9E630, 1TB_98,740"
4367853,HGST Travelstar Z5K500.B 5400/16M/노트북용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80원/1GB_HTS545050B7E660, 500GB_40,020","80원/1GB_HTS545050B7E660, 500GB_40,020","80원/1GB_HTS545050B7E660, 500GB_40,020","80원/1GB_HTS545050B7E660, 500GB_40,020","80원/1GB_HTS545050B7E660, 500GB_40,020","80원/1GB_HTS545050B7E660, 500GB_40,020",0,0,0,0,0
1943077,HGST Travelstar Z7K500 7200/32M/노트북용,0,0,0,0,0,0,"107원/1GB_HTS725050A7E630, 500GB_53,390","107원/1GB_HTS725050A7E630, 500GB_53,390","107원/1GB_HTS725050A7E630, 500GB_53,390","107원/1GB_HTS725050A7E630, 500GB_53,390","109원/1GB_HTS725050A7E630, 500GB_54,530","105원/1GB_HTS725050A7E630, 500GB_52,260","105원/1GB_HTS725050A7E630, 500GB_52,260","105원/1GB_HTS725050A7E630, 500GB_52,260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4449847,HGST Ultrastar 7K2 7200/128M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HUS722T2TALA604, 2TB_95원/1GB_189,000|HUS722T1TALA604, 1TB_149원/1GB_149,000","HUS722T2TALA604, 2TB_95원/1GB_189,000|HUS722T1TALA604, 1TB_149원/1GB_149,000","HUS722T2TALA604, 2TB_95원/1GB_189,000|HUS722T1TALA604, 1TB_149원/1GB_149,000","HUS722T2TALA604, 2TB_95원/1GB_189,000|HUS722T1TALA604, 1TB_149원/1GB_149,000","HUS722T2TALA604, 2TB_95원/1GB_189,000|HUS722T1TALA604, 1TB_149원/1GB_149,000"
3566036,HGST Ultrastar 7K6000 7200/128M,0,0,0,0,"HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000","HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000",0,"HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000","HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000","HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000","HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000","HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000","HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HUS726060ALE610, 6TB_48원/1GB_289,000|HUS726040ALA610, 4TB_52원/1GB_209,000",0
27638195,HGST Ultrastar 7K6000 7200/128M/리퍼비시,"25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440","25원/1GB_HUS726040ALE610, 4TB_98,440"
4140498,HGST Ultrastar He10 7200/256M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HUH721010ALE600, 10TB_60원/1GB_600,000|HUH721008ALE600, 8TB_69원/1GB_555,000"
