Id,Name,2024-04-01 10:17:54,2024-04-02 10:15:26,2024-04-03 10:11:37,2024-04-04 10:12:42,2024-04-05 10:12:08,2024-04-06 10:10:26,2024-04-07 10:17:57,2024-04-08 10:13:24,2024-04-09 10:13:34,2024-04-10 10:11:33,2024-04-11 10:13:08,2024-04-12 10:12:54,2024-04-13 10:00:18,2024-04-14 10:37:03,2024-04-15 12:31:01,2024-04-16 10:11:57,2024-04-17 10:12:34,2024-04-18 10:12:32,2024-04-19 10:13:06,2024-04-20 10:12:45,2024-04-21 10:17:50,2024-04-22 10:15:12,2024-04-23 10:13:51,2024-04-24 10:14:29,2024-04-25 10:15:24,2024-04-26 10:14:42,2024-04-27 10:12:41,2024-04-28 10:18:51,2024-04-29 10:15:14,2024-04-30 10:13:40
29619623,AFOX IH110D4-MA5-V2 에즈윈,"80,510","84,740","84,770","84,720","84,640","84,540","84,540","84,850","84,850","84,840","84,750","84,740","84,700","84,680","84,590","84,570","84,850","85,190","85,190","85,190","85,190","85,190","85,190","85,190","85,190","85,190","85,190","85,190","84,692","85,190"
19995881,AFOX IH310C-MA6-V4 에즈윈,"70,964","75,150","75,250","75,250","75,600","75,480","75,390","75,370","75,300","75,200","75,200","75,190","75,160","75,050","74,940","74,930","75,200","75,200","75,710","75,600","75,490","75,390","75,290","75,290","75,260","75,210","75,200","75,170","75,070","74,990"
10864752,ASRock A320M-HDVP 디앤디컴,"130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000","130,000"
18403331,ASRock A520M-HDV 대원씨티에스,"74,680","74,570","74,470","74,400","74,310","74,250","74,150","74,060","74,040","73,930","73,920","76,990","76,970","76,850","76,760","76,290","76,290","76,290","74,450","71,300","71,300","71,300","71,300","71,300","71,300","71,300","71,300","71,300","71,300","71,300"
21695969,ASRock A520M-HDV 대원씨티에스 (벌크),"68,582","69,221","69,220","69,220","69,220","69,220","69,220","69,220","70,470","70,470","70,470","70,470","70,870","70,870","70,870","70,870","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650","71,650"
12092663,ASRock A520M-HDV 디앤디컴,"75,330","75,900","75,900","75,900","74,980","74,940","74,850","74,740","74,680","75,890","74,990","74,920","74,880","74,880","74,910","74,870","74,930","74,970","74,930","74,930","74,910","74,860","75,900","75,660","74,960","74,500","74,510","74,500","74,510","75,900"
12660353,ASRock A520M-HDV 디앤디컴 (벌크),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"73,870","73,890","73,870","73,390","73,720","72,710","73,770","73,800","73,780","73,780","73,720","73,720"
12130286,ASRock A520M-HDV 에즈윈,"69,916","74,630","74,630","74,630","74,630","74,600","74,510","74,450","74,380","74,270","74,950","74,910","74,890","74,770","74,930","74,850","74,930","74,990","74,990","74,990","75,020","74,940","76,520","76,460","75,030","76,960","76,920","74,940","74,940","74,990"
25213067,ASRock A520M-HDV 에즈윈 (벌크),"70,888","75,660","75,630","75,510","75,470","75,440","75,500","75,500","75,450","75,400","75,380","75,270","75,220","75,120","75,110","75,110","75,400","75,400","75,400","75,400","75,400","75,400","75,400","75,400","75,400","75,400","75,400","75,400","74,487","75,400"
32110508,ASRock A520M-HDVP R2.0 에즈윈 (벌크),"76,227","81,370","81,370","81,370","81,370","81,360","81,360","81,360","81,300","81,250","81,240","81,140","81,170","81,170","81,150","81,080","80,970","80,860","80,790","81,240","81,240","81,240","81,240","81,240","81,240","81,240","81,240","81,240","80,103","81,240"
