Id,Name,2024-06-01 10:28:05,2024-06-02 10:28:19,2024-06-03 10:25:06,2024-06-04 10:25:06,2024-06-05 10:23:53,2024-06-06 10:23:43,2024-06-07 10:26:18,2024-06-09 10:31:09,2024-06-10 10:26:51,2024-06-11 10:25:55,2024-06-12 10:25:40,2024-06-13 10:23:31,2024-06-14 10:25:15,2024-06-15 10:24:59,2024-06-16 10:31:00,2024-06-17 10:28:05,2024-06-18 10:26:34,2024-06-19 10:26:13,2024-06-20 10:24:31,2024-06-21 10:25:01,2024-06-22 10:24:10,2024-06-23 10:29:55,2024-06-24 10:26:21,2024-06-25 10:25:49,2024-06-26 10:25:20,2024-06-27 10:25:30,2024-06-28 10:25:34,2024-06-29 10:24:12,2024-06-30 10:31:37
33483494,+0asis 600SB 벌크,"15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990","15,990"
15323429,+0asis Cool 600SB6P V2.3 벌크,"15,900","15,900","15,900","15,900","15,900","15,900","15,900",0,0,"15,900","15,900","15,900","15,900","15,900","15,900","15,900",0,0,0,0,0,0,"15,900","15,900","15,900","15,900","15,900","15,900","15,900"
15362705,+0asis Cool 700GP V2.3 벌크,"29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500",0,0,0,0,0,0,"29,500","29,500","29,500","29,500"
1842030,+PLUS ATX GT-5000S 벌크,"16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330","16,330",0,0,0,0,0,"16,330","16,330","16,330","16,330","16,330","16,330","16,330"
5240215,+PLUS ATX GT-6000S 벌크,"17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120","17,120"
2760128,+PLUS ATX PLUS GT-5000L 벌크,"17,810","17,810","17,810","17,810","17,810","17,810",0,0,0,0,0,"17,810","17,810","17,810","17,810","17,810","18,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000",0,0,0,0,0
12690218,3RSYS AK 500S 80PLUS스탠다드 230V EU,"45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000"
12690239,3RSYS AK 600S 80PLUS스탠다드 230V EU,"50,330","50,330","47,800","47,800","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330","50,330"
12690251,3RSYS AK 700S 80PLUS스탠다드 230V EU,"59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","58,370","59,000","59,000","59,000","59,000","59,000","59,000"
12838997,3RSYS AK 800S 80PLUS스탠다드 230V EU,"67,000","67,000","67,000","63,600","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000","67,000"
18698132,3RSYS FORCE 500W,"36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000"
18698168,3RSYS FORCE 600W,"39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900","39,900"
17145116,3RSYS TEAMMOST TM 1000W 80PLUS브론즈 230V EU,"95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630","95,630"
17144888,3RSYS TEAMMOST TM 750W 80PLUS브론즈 230V EU,"64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","64,060","63,810","64,060","64,060","64,060","64,060","64,060","64,060"
17145053,3RSYS TEAMMOST TM 850W 80PLUS브론즈 230V EU,"82,000","82,000","82,000","82,000","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500","99,500"
