Id,Name,2025-04-01 11:08:50,2025-04-02 10:58:44,2025-04-03 10:57:27,2025-04-04 10:57:08,2025-04-05 10:55:23,2025-04-06 11:02:55,2025-04-07 11:00:26,2025-04-08 11:00:37,2025-04-09 10:57:14,2025-04-10 10:57:42,2025-04-11 10:58:16,2025-04-12 10:55:26,2025-04-13 12:24:32,2025-04-14 11:01:45,2025-04-15 11:00:42,2025-04-16 11:00:33,2025-04-17 10:58:45,2025-04-18 10:55:38,2025-04-19 10:54:07,2025-04-20 11:05:06,2025-04-21 11:04:27,2025-04-22 10:59:25,2025-04-23 10:59:50,2025-04-24 11:00:40,2025-04-25 11:00:57,2025-04-26 10:57:01,2025-04-27 11:06:08,2025-04-28 11:04:22,2025-04-29 11:02:03,2025-04-30 11:01:20
28122995,1stPlayer WING 120,"_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800",0
28122920,1stPlayer WING 120,0,0,0,0,0,0,0,0,"_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,250|_화이트_8,800","_블랙_8,240|_화이트_8,800","_블랙_8,240|_화이트_8,800","_블랙_8,240|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800",0,0,0,"_블랙_8,190|_화이트_8,800"
28123328,1stPlayer WING-R 120,"_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800",0
28123250,1stPlayer WING-R 120,0,0,0,0,"_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,200|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800","_블랙_8,190|_화이트_8,800",0,0,0,0,0,0,0,0,0,0,0,"_블랙_8,190|_화이트_8,800"
67976123,3RSYS AM5 세이프티 브라켓,"블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270","블랙_5,270"
12806516,3RSYS AMD 세이프티 브라켓,"5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160","5,160"
11845318,3RSYS APB BAR,"_280mm_9,000|_410mm_8,990","_280mm_9,000|_410mm_8,990","_280mm_9,000|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990","_280mm_11,440|_410mm_8,990"
9637392,3RSYS APB BAR 35,"12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","12,700","11,500"
64376207,3RSYS CH10 ARGB AND PWM HUB,"11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,900","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,760","11,400","11,400","11,400","11,400","11,400","11,400"
7798183,3RSYS ICEAGE G4 그래픽카드 지지대,"_블랙_11,900|_실버_11,650",0,0,"_블랙_11,640|_실버_11,270","_블랙_19,440|_실버_11,270","_블랙_19,440|_실버_11,270","_블랙_19,440|_실버_11,270","_블랙_19,440|_실버_11,270","_블랙_19,440|_실버_13,150","_블랙_19,440|_실버_19,440","_블랙_19,440|_실버_19,440","_블랙_19,440|_실버_19,440",0,"_블랙_19,440|_실버_19,440","_블랙_19,800|_실버_19,800","_블랙_21,530|_실버_17,500",0,0,0,0,0,0,0,0,0,0,"_블랙_21,720|_실버_19,900","_블랙_21,850|_실버_19,900",0,0
