Id,Name,2025-07-01 11:11:49,2025-07-02 11:00:35,2025-07-03 11:01:12,2025-07-04 11:00:36,2025-07-08 11:01:41,2025-07-09 11:21:22,2025-07-10 11:20:20,2025-07-11 11:23:19,2025-07-12 11:23:28,2025-07-13 11:38:33,2025-07-14 11:28:01,2025-07-15 11:28:13,2025-07-16 11:24:48,2025-07-17 11:24:29,2025-07-18 11:27:30,2025-07-19 11:19:56,2025-07-20 11:40:12,2025-07-21 11:31:13,2025-07-22 11:25:28,2025-07-23 11:26:31,2025-07-24 11:25:35,2025-07-25 11:25:32,2025-07-26 11:21:58,2025-07-27 11:41:11,2025-07-28 11:38:47,2025-07-29 11:43:28,2025-07-30 11:28:56,2025-07-31 11:28:59
92625161,1stPlayer NEO 텐키리스 아크릴 팜레스트,0,0,0,0,0,"25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
92357306,1stPlayer NEO87 유무선 기계식,0,0,0,0,0,"_레트로_59,160|_나이트 퍼플_59,160|스텔라_86,130|크림 버건디_65,250","_레트로_59,160|_나이트 퍼플_59,160|스텔라_86,130|크림 버건디_65,250","_레트로_60,800|_나이트 퍼플_60,800|스텔라_94,050|크림 버건디_71,250","_레트로_62,560|_나이트 퍼플_62,560|스텔라_91,080|크림 버건디_69,000","_레트로_62,560|_나이트 퍼플_62,560|스텔라_91,080|크림 버건디_69,000",0,0,"_레트로_61,880|_나이트 퍼플_61,880|스텔라_90,090|크림 버건디_68,250","_레트로_61,880|_나이트 퍼플_61,880|스텔라_90,090|크림 버건디_68,250","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_65,960|_나이트 퍼플_65,960|스텔라_96,030|크림 버건디_72,750",0,0,0,0,0,0,0,0,0,0
92357459,1stPlayer NEO87 유무선 기계식,0,0,0,0,0,0,0,0,0,0,"_레트로_62,560|_나이트 퍼플_62,560|스텔라_91,080|크림 버건디_69,000","_레트로_67,260|_나이트 퍼플_67,260|스텔라_97,920|크림 버건디_74,190",0,0,0,0,0,0,"_레트로_65,750|_나이트 퍼플_65,750|스텔라_95,730|크림 버건디_72,520","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_61,880|_나이트 퍼플_61,880|스텔라_90,090|크림 버건디_68,250","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_68,000|_나이트 퍼플_68,000|스텔라_99,000|크림 버건디_75,000","_레트로_65,960|_나이트 퍼플_65,960|스텔라_96,030|크림 버건디_72,750","_레트로_67,760|_나이트 퍼플_67,760|스텔라_99,000|크림 버건디_75,000"
69697262,8bitdo Retro 유무선 기계식,0,0,0,0,0,"114,240","114,240",0,0,0,0,0,0,0,0,0,0,0,0,0,"116,620","116,620",0,0,0,0,0,0
57709394,8bitdo Retro 유무선 기계식 C64 에디션,0,0,0,0,0,"해외구매_86,400",0,0,"해외구매_88,310","해외구매_88,310","해외구매_88,310",0,0,0,0,0,0,0,0,0,"해외구매_87,360","해외구매_89,750",0,0,0,0,0,0
74253509,8bitdo Retro 유무선 기계식 Xbox 에디션,0,0,0,0,0,0,0,0,0,0,0,"해외구매_95,540","해외구매_95,540","해외구매_94,510","해외구매_94,510","해외구매_94,510",0,0,0,0,0,0,0,0,0,0,0,0
45319094,8bitdo Retro 유무선 기계식 해외구매,0,0,0,0,0,"_옵션선택구성_78,500|_그레이_85,950|레드_82,960","_옵션선택구성_78,500|_그레이_85,950|레드_82,960","_옵션선택구성_77,650|_그레이_86,900|레드_82,960","_옵션선택구성_78,500|_그레이_86,990|레드_82,960","_옵션선택구성_78,500|_그레이_86,990|레드_82,960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28392785,8bitdo Retro 유무선 기계식 해외구매,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_옵션선택구성_73,005|_그레이_86,900|레드_82,960","_옵션선택구성_73,890|_그레이_86,900|레드_82,960","_옵션선택구성_73,890|_그레이_86,900|레드_82,960","_옵션선택구성_71,290|_그레이_84,040|레드_82,960","_옵션선택구성_71,280|_그레이_81,170|레드_82,960","_옵션선택구성_73,890|_그레이_84,040|레드_82,960",0,0,0,0,0,0,0,0
93702140,8bitdo Retro18 유무선 기계식 C64 에디션,0,0,0,0,0,"59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000","59,000"
94445426,A4Tech Bloody AT87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"115,000","115,000","115,000","114,800","114,800","114,800","114,800","114,800","114,800","114,800","114,800"
27494381,A4Tech Bloody S98 기계식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"117,800",0,0,0
14040011,ANYZEN AMK-250 키보드 마우스 세트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,190","9,190","9,190","9,900",0,0,0,0,0,0
6383542,ANYZEN AMK-250 키보드 마우스 세트 with PAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,370","11,370","12,500",0,"12,000","12,000",0,0,0
4698449,ANYZEN K200 미니키보드,0,0,0,0,0,"6,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5645544,ANYZEN MK-100 USB 유선 세트,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,200","7,200","7,200","7,200","7,200","7,200","7,200",0,0,0,0,0,0,0,0
10333371,ANYZEN MK100 USB 세트 with PAD,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,600","8,600","8,600","8,600","8,600","8,600",0,0,0,0,0,0,0,0,0
93498056,APAYADO DK68 유무선 기계식,0,0,0,0,0,"해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_23,500","해외구매_22,070","해외구매_22,070","해외구매_22,070","해외구매_22,070","해외구매_22,070","해외구매_22,070","해외구매_22,070","해외구매_22,070"
93442217,APAYADO K3 기계식,0,0,0,0,0,"해외구매_14,690","해외구매_14,400","해외구매_14,360","해외구매_14,360","해외구매_14,360","해외구매_14,360","해외구매_14,360","해외구매_14,360","해외구매_14,690","해외구매_13,770","해외구매_14,550","해외구매_14,400","해외구매_14,360","해외구매_14,360","해외구매_13,580","해외구매_14,270","해외구매_14,360","해외구매_14,360","해외구매_14,360","해외구매_14,360",0,0,0
93442091,APAYADO K61 기계식,0,0,0,0,0,"해외구매_22,420","해외구매_22,050","해외구매_22,560","해외구매_22,540","해외구매_22,540","해외구매_22,540","해외구매_22,290","해외구매_22,290","해외구매_22,290","해외구매_21,620","해외구매_22,290","해외구매_22,290","해외구매_13,550","해외구매_13,550","해외구매_12,800","해외구매_13,550","해외구매_14,760","해외구매_14,760","해외구매_14,760",0,0,0,0
93442460,APAYADO K82 기계식,0,0,0,0,0,"해외구매_27,160","해외구매_27,160","해외구매_27,160","해외구매_29,490","해외구매_29,490","해외구매_29,490","해외구매_29,270","해외구매_29,270","해외구매_29,730","해외구매_29,670","해외구매_29,730","해외구매_28,570","해외구매_28,320","해외구매_28,750","해외구매_28,140","해외구매_27,490","해외구매_29,670","해외구매_29,670","해외구매_29,670","해외구매_29,670",0,0,0
93498188,APAYADO KL97 기계식,0,0,0,0,0,"해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_28,810","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040","해외구매_29,040"
93441515,APAYADO M70,0,0,0,0,0,"해외구매_14,590","해외구매_14,590","해외구매_15,400","해외구매_14,920","해외구매_14,920","해외구매_14,920","해외구매_14,760","해외구매_14,760","해외구매_14,760","해외구매_14,760","해외구매_14,760","해외구매_14,760","해외구매_14,760","해외구매_14,270","해외구매_14,760",0,0,0,0,0,0,0,0
93442601,APAYADO T023,0,0,0,0,0,"해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100","해외구매_15,100",0,0,0
93441725,APAYADO T21 기계식,0,0,0,0,0,"해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_16,530","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_17,230","해외구매_16,530",0,0,0,0,0,0,0,0
74484314,APPLE MXCK3KH/A 유무선,0,0,0,0,0,"189,050","189,050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"189,050","189,050"
74053196,APPLE MXCL3KE/A 유무선,0,0,0,0,0,0,0,0,0,0,0,0,0,"139,000","139,000",0,"139,000",0,0,0,0,0,0,0,0,0,0,0
72592274,APPLE MXCL3KH/A 유무선,0,0,0,0,0,"132,050","132,050","132,050","132,050","132,050","132,050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72592202,APPLE MXK73KH/A 유무선,0,0,0,0,0,"236,550","236,550","236,550","236,550","236,550","236,550","236,550","236,550","236,550","236,550","236,550","236,550","236,550",0,"236,550","236,550","236,550","236,550","236,550","236,550",0,"236,550","236,550"
90437681,APPLE MXK83KE/A 유무선,0,0,0,0,0,0,0,"279,000","279,000","279,000","279,000","279,000","279,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74053472,APPLE MXK83KH/A 유무선,0,0,0,0,0,"265,050","265,050","265,050","265,050",0,0,0,0,"265,050","265,050","265,050","265,050","265,050","265,050",0,0,0,0,0,0,0,0,0
11766293,APPLE Magic Keyboard with Numeric Keypad 일본어 MRMH2KJ/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"정품_94,000",0,0,"정품_94,000",0,0,0
60326543,ASUS ROG AZOTH EXTREME 유무선,0,0,0,0,0,"765,030","765,030","765,030","789,000","789,000","789,000","789,000","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050","759,050"
30338999,ASUS ROG AZOTH WHITE PBT 유무선 영문,0,0,0,0,0,"_적축_399,000|_SNOW_299,250|STORM_349,000|청축_399,000","_적축_399,000|_SNOW_299,250|STORM_349,000|청축_399,000","_적축_399,000|_SNOW_299,250|STORM_349,000|청축_399,000","_적축_399,000|_SNOW_299,250|STORM_349,000|청축_399,000","_적축_399,000|_SNOW_299,250|STORM_349,000|청축_399,000","_적축_399,000|_SNOW_299,250|STORM_349,000|청축_399,000","_적축_399,000|_SNOW_319,200|STORM_319,200|청축_399,000",0,0,0,0,0,"적축_399,000|_SNOW_319,200|_STORM_319,200|청축_399,000","적축_399,000|_SNOW_319,200|_STORM_319,200|청축_399,000","적축_399,000|_SNOW_319,200|_STORM_319,200|청축_399,000","적축_399,000|_SNOW_319,200|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000","적축_399,000|_SNOW_349,000|_STORM_349,000|청축_399,000"
28557293,ASUS ROG AZOTH WHITE PBT 유무선 영문,0,0,0,0,0,0,0,0,0,0,0,0,"_적축_399,000|_SNOW_319,200|STORM_319,200|청축_399,000","_적축_399,000|_SNOW_319,200|STORM_319,200|청축_399,000","_적축_399,000|_SNOW_319,200|STORM_319,200|청축_399,000","_적축_399,000|_SNOW_319,200|STORM_319,200|청축_399,000","_적축_399,000|_SNOW_319,200|STORM_319,200|청축_399,000",0,0,0,0,0,0,0,0,0,0,0
60064472,ASUS ROG AZOTH WHITE PBT 유무선 한글,0,0,0,0,0,"RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","_RED축_319,200|_SNOW축_319,200|STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200","RED축_319,200|_SNOW축_319,200|_STORM축_319,200"
92888570,ASUS ROG AZOTH X 유무선 기계식,0,0,0,0,0,"_SNOW축_355,110|_STORM축_355,110","_SNOW축_398,000|_STORM축_355,110","_SNOW축_398,000|_STORM축_355,100","_SNOW축_367,070|_STORM축_367,070","_SNOW축_367,070|_STORM축_367,070","_SNOW축_367,070|_STORM축_367,070","_SNOW축_388,990|_STORM축_388,990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18728819,ASUS ROG AZOTH 유무선 기계식 영문,0,0,0,0,0,"_갈축_349,000|SNOW_377,030|_적축_349,000|청축_349,000","_갈축_349,000|SNOW_377,030|_적축_349,000|청축_349,000","_갈축_349,000|SNOW_387,030|_적축_349,000|청축_349,000","_갈축_349,000|SNOW_389,000|_적축_349,000|청축_349,000","_갈축_349,000|SNOW_389,000|_적축_349,000|청축_349,000","_갈축_349,000|SNOW_389,000|_적축_349,000|청축_349,000","_갈축_349,000|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000","_갈축_331,550|_SNOW_319,200|적축_319,200|청축_349,000","_갈축_331,550|SNOW_319,200|_적축_319,200|청축_349,000",0,0,0,0,0,"_갈축_331,550|_SNOW_399,000|적축_349,000|청축_349,000","_갈축_331,550|_SNOW_387,030|적축_349,000|청축_349,000","_갈축_331,550|_SNOW_377,030|적축_349,000|청축_349,000"
40021592,ASUS ROG AZOTH 유무선 기계식 영문,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_갈축_331,550|_SNOW_389,000|적축_349,000|청축_349,000","_갈축_331,550|_SNOW_399,000|적축_349,000|청축_349,000","갈축_331,550|_SNOW_399,000|_적축_349,000|청축_349,000","갈축_331,550|_SNOW_399,000|_적축_349,000|청축_349,000","갈축_331,550|_SNOW_399,000|_적축_349,000|청축_349,000",0,0,0
