Id,Name,2025-11-01 10:59:52,2025-11-02 11:02:06,2025-11-03 11:02:08,2025-11-04 10:57:46,2025-11-05 10:58:59,2025-11-06 10:58:27,2025-11-07 10:57:37,2025-11-08 10:51:32,2025-11-09 11:01:11,2025-11-10 11:02:53,2025-11-11 10:59:29,2025-11-12 10:58:27,2025-11-13 10:59:55,2025-11-14 10:59:17,2025-11-15 10:54:39,2025-11-16 11:04:56,2025-11-17 10:59:55,2025-11-18 10:58:40,2025-11-19 10:57:59,2025-11-20 10:56:44,2025-11-21 10:58:17,2025-11-22 10:53:46,2025-11-23 11:12:16,2025-11-24 11:06:20,2025-11-25 10:59:45,2025-11-26 10:59:46,2025-11-27 10:57:36,2025-11-28 10:57:31,2025-11-29 10:56:57,2025-11-30 11:11:12
11830057,ADATA FALCON M.2 NVMe,"512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000","512GB_281원/1GB_144,000"
18510746,ADATA IM2P33F3A M.2 2230 NVMe 벌크,"256GB_312원/1GB_79,800","256GB_312원/1GB_79,800","256GB_312원/1GB_79,800","256GB_312원/1GB_79,800","256GB_273원/1GB_70,000","256GB_273원/1GB_70,000","256GB_273원/1GB_70,000","256GB_273원/1GB_70,000","256GB_273원/1GB_70,000","256GB_273원/1GB_70,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17287469,ADATA LEGEND 710 M.2 NVMe,"1TB_128원/1GB_127,990","1TB_128원/1GB_127,990","1TB_128원/1GB_127,990",0,"_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,710|256GB_203원/1GB_52,000","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_128원/1GB_127,990|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_153원/1GB_153,000|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990","_1TB_153원/1GB_153,000|_512GB_169원/1GB_86,700|256GB_203원/1GB_51,990"
17287529,ADATA LEGEND 710 M.2 NVMe,0,0,0,"1TB_128원/1GB_127,990|_512GB_170원/1GB_87,000|_256GB_203원/1GB_52,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79395908,ADATA LEGEND 710 M.2 NVMe 파인인포,"_1TB_117원/1GB_116,990|_512GB_154원/1GB_79,000|256GB_152원/1GB_39,000","_1TB_117원/1GB_116,990|_512GB_154원/1GB_79,000|256GB_152원/1GB_39,000","_1TB_117원/1GB_116,990|_512GB_154원/1GB_79,000|256GB_152원/1GB_39,000","_1TB_117원/1GB_116,990|_512GB_123원/1GB_63,000|256GB_152원/1GB_39,000","_1TB_117원/1GB_116,990|_512GB_154원/1GB_79,000|256GB_152원/1GB_39,000","_1TB_153원/1GB_152,909|512GB_154원/1GB_79,000|_256GB_203원/1GB_51,990","_1TB_153원/1GB_152,909|512GB_154원/1GB_79,000|_256GB_203원/1GB_51,990","_1TB_153원/1GB_152,980|512GB_154원/1GB_79,000|_256GB_203원/1GB_51,980","_1TB_153원/1GB_152,980|512GB_154원/1GB_79,000|_256GB_203원/1GB_51,980","_1TB_153원/1GB_152,980|512GB_154원/1GB_79,000|_256GB_203원/1GB_51,980","_1TB_153원/1GB_152,980|512GB_154원/1GB_79,000|_256GB_203원/1GB_51,980","_1TB_151원/1GB_151,270|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,410","_1TB_151원/1GB_151,260|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,400","_1TB_151원/1GB_151,260|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,400","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,390","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,390","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,390","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,390","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_198원/1GB_50,810","2TB_87원/1GB_174,220|_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_198원/1GB_50,800","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_198원/1GB_50,800","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_197원/1GB_50,340","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_197원/1GB_50,340","_1TB_119원/1GB_119,000|512GB_154원/1GB_79,000|_256GB_201원/1GB_51,400","_1TB_119원/1GB_119,000|_512GB_154원/1GB_79,000|256GB_201원/1GB_51,400","2TB_100원/1GB_199,000|_1TB_119원/1GB_119,000|_512GB_154원/1GB_79,000|256GB_199원/1GB_50,840","2TB_100원/1GB_199,000|_1TB_119원/1GB_119,000|_512GB_170원/1GB_86,990|256GB_192원/1GB_49,070","2TB_100원/1GB_199,000|_1TB_115원/1GB_114,800|_512GB_170원/1GB_86,980|256GB_192원/1GB_49,070","2TB_100원/1GB_199,000|_1TB_115원/1GB_114,800|_512GB_170원/1GB_86,980|256GB_192원/1GB_49,070","2TB_100원/1GB_199,000|_1TB_115원/1GB_114,800|_512GB_148원/1GB_75,610|256GB_192원/1GB_49,070"
19353515,ADATA LEGEND 800 M.2 NVMe,"_1TB_113원/1GB_113,000|_500GB_130원/1GB_65,000","_1TB_113원/1GB_113,000|_500GB_130원/1GB_65,000","_1TB_113원/1GB_113,000|_500GB_130원/1GB_65,000","500GB_130원/1GB_65,000","500GB_130원/1GB_65,000","500GB_130원/1GB_65,000","500GB_130원/1GB_65,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79250330,ADATA LEGEND 860 M.2 NVMe,"_2TB_105원/1GB_209,000|_1TB_130원/1GB_130,469|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_130원/1GB_130,469|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_130원/1GB_130,469|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_130원/1GB_130,469|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_133원/1GB_133,000|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_133원/1GB_133,000|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_133원/1GB_133,000|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_133원/1GB_133,000|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_133원/1GB_133,000|500GB_142원/1GB_70,900","_2TB_105원/1GB_209,000|_1TB_133원/1GB_133,000|500GB_142원/1GB_70,900",0,0,0,0,0,0,0,"_2TB_105원/1GB_209,000|_1TB_155원/1GB_154,980","_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,980",0,0,0,0,0,0,"_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,620","_2TB_143원/1GB_286,080|_1TB_154원/1GB_154,490",0,0,0
79250273,ADATA LEGEND 860 M.2 NVMe,0,0,0,0,0,0,0,0,0,0,"2TB_105원/1GB_209,000|_1TB_155원/1GB_154,990|_500GB_142원/1GB_70,900","2TB_105원/1GB_209,000|_1TB_155원/1GB_154,990|_500GB_142원/1GB_70,900","2TB_105원/1GB_209,000|_1TB_155원/1GB_154,980|_500GB_180원/1GB_90,000","2TB_105원/1GB_209,000|_1TB_155원/1GB_154,980|_500GB_180원/1GB_90,000","2TB_105원/1GB_209,000|_1TB_155원/1GB_154,980|_500GB_142원/1GB_70,900","2TB_105원/1GB_209,000|_1TB_155원/1GB_154,980|_500GB_142원/1GB_70,900","2TB_105원/1GB_209,000|_1TB_155원/1GB_154,980|_500GB_142원/1GB_70,900",0,0,0,0,0,0,0,0,0,0,0,0,0
79401872,ADATA LEGEND 860 M.2 NVMe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,980","_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,980","_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,950","_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,820","_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,710","_2TB_143원/1GB_286,080|_1TB_155원/1GB_154,710",0,0,"_2TB_143원/1GB_286,080|_1TB_154원/1GB_154,370","_2TB_143원/1GB_286,080|_1TB_154원/1GB_154,250","_2TB_143원/1GB_286,080|_1TB_154원/1GB_154,130"
30008675,ADATA LEGEND 900 M.2 NVMe,"_2TB_115원/1GB_229,990|_1TB_150원/1GB_149,530|512GB_166원/1GB_84,990","_2TB_115원/1GB_229,990|1TB_150원/1GB_149,530|_512GB_166원/1GB_84,980","_2TB_113원/1GB_225,400|1TB_150원/1GB_149,530|_512GB_166원/1GB_84,990","_2TB_114원/1GB_227,700|1TB_150원/1GB_149,530|_512GB_166원/1GB_85,000",0,"_2TB_114원/1GB_227,700|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_114원/1GB_227,700|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,980",0,"_2TB_110원/1GB_220,800|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,980","_2TB_110원/1GB_220,800|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,980","_2TB_110원/1GB_220,800|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,980","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,980","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_115원/1GB_229,990|1TB_168원/1GB_167,990|_512GB_205원/1GB_104,980","_2TB_147원/1GB_294,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_147원/1GB_294,980|1TB_168원/1GB_167,990|_512GB_205원/1GB_104,980","_2TB_147원/1GB_294,980|1TB_168원/1GB_167,990|_512GB_205원/1GB_104,980","_2TB_147원/1GB_294,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_147원/1GB_294,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_147원/1GB_294,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_147원/1GB_294,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990","_2TB_147원/1GB_294,990|1TB_168원/1GB_168,000|_512GB_205원/1GB_104,990",0,0
