Id,Name,2026-04-01 12:21:17,2026-04-02 11:46:53,2026-04-03 11:49:19,2026-04-04 11:39:59,2026-04-05 11:57:54,2026-04-06 11:58:58,2026-04-07 11:52:46,2026-04-08 11:53:30,2026-04-09 11:48:20
16275866,A320 (중고),"36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000"
13165257,A520 (중고),"44,990","44,990","44,990","44,990","44,990","44,990","44,990","44,990","44,990"
98184140,ADVANTECH ASMB-807-00A1,0,0,0,"1,062,960","1,062,960","1,062,960","1,062,850","1,062,730","1,062,490"
101073890,ADVANTECH ASMB-816-00A1,"1,061,000","1,061,000","1,061,000",0,0,0,"1,061,000",0,0
108401501,ADVANTECH ASMB-817I-00A1 아이보라,"1,025,110","1,025,110","1,025,110","1,025,110","1,025,110","1,025,120","1,025,120","1,025,120","1,139,000"
103415894,ADVANTECH ASMB-818I-00A1,"1,224,880","1,224,880","1,224,880","1,224,880","1,224,890","1,224,890","1,224,890","1,224,880","1,224,880"
104989574,ADVANTECH ASMB-831T2-0A1 아이보라,"1,683,780","1,683,780","1,683,780","1,683,780","1,683,790","1,683,790","1,683,790","1,683,780","1,683,780"
96366245,ADVANTECH ASMB-925-00A1,"1,102,410","1,102,410","1,102,410","1,102,410","1,102,420","1,102,420","1,102,300","1,102,300","1,123,600"
99948020,ADVANTECH ASMB-927T2-0A1,"2,077,590","2,077,590","2,077,590","2,077,590","2,084,500",0,"2,084,490",0,0
15358496,AFOX IH81-MA2-V2 에즈윈,"71,700","71,340","70,860","70,730","70,260","70,130","70,130","70,020","69,900"
10864752,ASRock A320M-HDVP 디앤디컴,"110,000","110,000","110,000","150,000","150,000","150,000",0,"150,000","150,000"
18403331,ASRock A520M-HDV 대원씨티에스,"69,430","69,430","69,900","69,900","74,000","74,000","74,000","74,000","74,000"
12092663,ASRock A520M-HDV 디앤디컴,"67,162","67,162","67,162","67,162","67,162","67,162","67,162","67,162","67,162"
12660353,ASRock A520M-HDV 디앤디컴 (벌크),"68,024","68,710","68,710","68,710","68,710","68,710","68,710","68,710","68,710"
12130286,ASRock A520M-HDV 에즈윈,"63,800","65,140","65,100","65,100","65,100","65,100","65,100","65,100","65,100"
25213067,ASRock A520M-HDV 에즈윈 (벌크),"67,770","67,770","67,760","67,750","67,750","67,750","67,730","67,730","67,710"
32110508,ASRock A520M-HDVP R2.0 에즈윈 (벌크),"84,000","84,000","84,000","84,000","84,000","84,000",0,0,0
77706989,ASRock A520M-HVS 대원씨티에스,"59,312","60,694","60,694","60,690","60,690","60,400","60,680","60,680","60,580"
12121013,ASRock A520M-ITX/ac 디앤디컴,"170,950","170,790","170,780","170,790","170,790","170,790","170,790","170,790","170,690"
97565858,ASRock A620AI WiFi 대원씨티에스,"226,080","226,010","225,830","225,360","224,880","224,750","224,750","224,750","224,640"
94081679,ASRock A620AM-HVS + WiFi6E 랜카드 패키지 디앤디컴,"135,626","135,207","135,207","132,528","132,528","132,528","132,520",0,0
92108180,ASRock A620AM-HVS 대원씨티에스,"96,888","99,088","99,088","99,088","99,088","99,088","98,980","98,980","98,650"
92149667,ASRock A620AM-HVS 디앤디컴,"92,506","92,506","92,506","92,506","92,506","92,506","92,506","92,506","92,506"
92360591,ASRock A620AM-HVS 에즈윈,"86,064","88,000","87,990","87,890","87,890","87,890","87,890","87,890","87,890"
90506507,ASRock A620AM-X 디앤디컴,"113,970","113,850","113,730","113,240","114,460","114,220","114,220","114,220","113,980"
35810231,ASRock A620M-HDV/M.2 에즈윈,"131,990","131,990","131,990","131,990","131,990","131,990",0,0,0
36157511,ASRock A620M-HDVP 에즈윈,"109,000","109,000","109,000","109,000","109,000","109,000",0,0,0
1357994,ASRock A780GM-LE (중고),"46,000","46,000","46,000","46,000","46,000","18,050","18,050","18,050","18,050"
6017713,ASRock B360M PRO4 디앤디컴,"146,000","146,000","146,000","146,000","146,000","146,000",0,"146,000","146,000"
6494014,ASRock B450 PRO4 디앤디컴,"166,000","166,000","166,000","166,000","166,000","166,000",0,"166,000","166,000"
7015291,ASRock B450 스틸레전드 디앤디컴,"166,000","166,000","166,000","166,000","166,000","166,000",0,"166,000","166,000"
7097008,ASRock B450M 스틸레전드 디앤디컴,"155,000","155,000","155,000","155,000","155,000","155,000",0,"155,000","155,000"
29879357,ASRock B450M-HDV R4.0 대원씨티에스,"950,000","950,000","950,000","950,000","75,000","75,000","75,000","75,000","75,000"
11572991,ASRock B550M PRO4 에즈윈,"539,130","539,130","539,130","539,130","539,130","539,130","539,130","539,130","539,130"
