Id,Name,2026-07-01 13:25:55,2026-07-02 13:07:26,2026-07-03 12:50:59,2026-07-04 12:44:16,2026-07-05 13:02:56,2026-07-06 13:09:46,2026-07-07 13:00:25,2026-07-08 12:27:16,2026-07-09 12:52:40,2026-07-10 12:55:24,2026-07-11 12:22:24,2026-07-12 12:34:10,2026-07-13 12:36:51,2026-07-14 12:00:06
71161970,3RSYS AK 1000W 80PLUS브론즈 모듈러 ATX3.1,0,"99,480","99,480","97,430","97,430","97,420","97,420","97,420","97,420","97,420","97,420","97,420","97,420","97,420"
12690218,3RSYS AK 500S 80PLUS스탠다드 230V EU,0,"44,500","44,500","44,500","44,500","44,490","44,490","44,490","44,490","44,490","44,490","44,490","44,490","44,490"
12690239,3RSYS AK 600S 80PLUS스탠다드 230V EU,0,"51,500","51,000","51,000","51,000","50,990","50,990","50,500","50,500","50,500","50,500","50,500","50,000","50,000"
12690251,3RSYS AK 700S 80PLUS스탠다드 230V EU,0,"58,980","58,980","58,980","58,980","58,980","58,980","58,980","58,980","58,980","58,980","58,980","58,980","58,500"
71162267,3RSYS AK 750W 80PLUS브론즈 모듈러 ATX3.1,0,"74,980","74,980","73,800","73,800","73,790","73,790","73,790","73,790","73,790","73,790","73,790","73,790","73,790"
12838997,3RSYS AK 800S 80PLUS스탠다드 230V EU,0,"66,980","66,980","66,640","66,640","66,630","66,630","66,630","66,630","66,450","66,420","66,390","66,380","66,280"
71162030,3RSYS AK 850W 80PLUS브론즈 모듈러 ATX3.1,0,"84,980","84,980","83,250","83,250","82,490","82,490","82,490","82,490","82,490","82,490","82,490","82,490","82,490"
18698132,3RSYS FORCE 500W,0,"38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000"
18698168,3RSYS FORCE 600W,0,"43,000","43,000","43,000","43,000","42,990","42,500","42,500","42,500","42,500","42,500","42,000","42,000","42,000"
2459011,AONE 500P KC,0,"23,730","23,730","23,730","23,730","23,730","23,730","23,730","23,730","23,730","23,730","23,730","23,011","23,011"
14759639,AONE 500S KC (벌크),0,"15,890","15,890","15,890","15,890","15,890","15,890","15,890","15,870","15,890","15,890","15,890","15,745","15,745"
2932261,AONE 600T KC,0,"29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500","29,500"
2935745,AONE MICRO 500P KC,0,"24,970","24,970","24,000","24,000","24,970","24,970","24,970","24,970","24,970","24,970","24,000","24,970","24,970"
32037200,AONE MICRO 600P,0,"31,940","31,940","31,940","31,940","31,940","31,940","31,940","31,940","31,940","31,940","31,940","31,940","31,940"
66051566,AONE Micro 450P,0,"21,040","21,040","21,040","21,040","21,040","21,040","21,040","21,040","21,040","21,040","21,040","21,040","21,040"
66051584,AONE Micro 450P 벌크,0,"18,960","18,960","18,960","18,960","18,960","18,960","18,960","18,960","18,960","18,960","18,960","18,960","18,960"
2615457,AONE Micro 450P-KC,0,"19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000"
2950192,AONE Micro 450P-KC 벌크,0,"19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000","19,000"
75071093,AONE NEW STORM 500LF 더블포워드 벌크,0,"31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000","31,000"
18213719,AONE STORM 1000W 80PLUS브론즈,0,"84,990","84,990","84,990","84,990","84,990","84,990","84,990","84,990","84,990","84,990","84,990","84,990","84,990"
17764373,AONE STORM 1000W 80PLUS브론즈 벌크,0,"84,960","84,960","84,960","84,960","84,960","84,960","84,960","84,960","84,960","84,960","84,960","84,960","84,960"
