Id,Name,2026-07-01 13:22:21,2026-07-02 13:02:41,2026-07-03 12:46:18,2026-07-04 12:39:43,2026-07-05 12:58:12,2026-07-06 13:05:16,2026-07-07 12:55:43,2026-07-08 12:22:41,2026-07-09 12:48:08,2026-07-10 12:50:42,2026-07-11 12:17:14,2026-07-12 12:28:43,2026-07-13 12:31:49,2026-07-14 11:54:43,2026-07-15 11:52:56,2026-07-16 11:59:49,2026-07-17 12:16:29,2026-07-18 11:54:31,2026-07-19 12:25:04,2026-07-20 12:38:55,2026-07-21 12:19:58
10363848,ACPI DDR3-1600,"8GB_2,703원/1GB_21,620","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_21,640","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,875원/1GB_23,000","8GB_2,615원/1GB_20,920","8GB_2,875원/1GB_20,920","8GB_2,615원/1GB_20,920",0,"8GB_2,615원/1GB_20,920","8GB_2,875원/1GB_20,920"
17020214,ADATA DDR4-3200 CL22 중고,"16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_10,438원/1GB_167,000","16GB_9,938원/1GB_159,000","16GB_9,938원/1GB_159,000",0,"16GB_9,938원/1GB_159,000","16GB_8,688원/1GB_139,000"
11868160,ADATA DDR4-3200 CL22 코잇,0,0,0,0,0,0,0,0,0,0,"16GB_2,688원/1GB_43,000",0,0,0,0,0,0,0,0,0,0
100387547,ADATA DDR4-3200 CL22 파인인포,"_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,469원/1GB_91,750","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,468원/1GB_91,740","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,463원/1GB_91,700","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,460원/1GB_91,680","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,458원/1GB_91,660","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,459원/1GB_91,670","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,623원/1GB_92,980","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,623원/1GB_92,980","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,623원/1GB_92,980","_32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|8GB_11,623원/1GB_92,980","_32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|8GB_11,619원/1GB_92,950","_32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|8GB_11,619원/1GB_92,950","_32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|8GB_11,604원/1GB_92,830","_32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|8GB_11,604원/1GB_92,830",0,0,0,0,0,0,0
94450340,ADATA DDR4-3200 CL22 파인인포,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|_8GB_11,603원/1GB_92,820","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,600원/1GB_92,800","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,599원/1GB_92,790","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,599원/1GB_92,790",0,"32GB_12,968원/1GB_414,960|_16GB_11,747원/1GB_187,950|_8GB_11,600원/1GB_92,800","_32GB_12,968원/1GB_414,960|16GB_11,747원/1GB_187,950|_8GB_11,600원/1GB_92,800"
93804974,ADATA DDR5-4800 CL40 서린,"_16GB_17,531원/1GB_280,490|_32GB_15,297원/1GB_489,490","32GB_15,297원/1GB_489,490","32GB_15,019원/1GB_480,600","32GB_15,019원/1GB_480,600","32GB_15,019원/1GB_480,600","32GB_15,019원/1GB_480,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15598841,ADATA DDR5-5200 CL38 LANCER 블랙 패키지,"32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,346원/1GB_779,080","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,553원/1GB_785,710","32GB(16Gx2)_24,568원/1GB_786,160","32GB(16Gx2)_24,652원/1GB_788,860","32GB(16Gx2)_24,736원/1GB_791,560","32GB(16Gx2)_24,568원/1GB_786,160",0,"32GB(16Gx2)_24,652원/1GB_786,160","32GB(16Gx2)_24,736원/1GB_791,560"
104374652,ADATA DDR5-5600 CL46 ARMAX 서린,"16GB_19,413원/1GB_310,610","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_20,198원/1GB_323,160","16GB_19,475원/1GB_311,600","16GB_19,475원/1GB_311,600",0,"16GB_19,475원/1GB_311,600","16GB_20,198원/1GB_323,160"
103415363,ADATA DDR5-5600 CL46 ARMAX 파인인포,"16GB_19,560원/1GB_312,960","16GB_19,560원/1GB_312,960","16GB_19,560원/1GB_312,960","16GB_19,560원/1GB_312,960","16GB_19,560원/1GB_312,960","16GB_19,560원/1GB_312,960","16GB_20,500원/1GB_328,000","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500","16GB_20,656원/1GB_330,500",0,"16GB_20,656원/1GB_330,500","16GB_19,560원/1GB_312,960"
76071389,ADATA DDR5-5600 CL46 ECC/REG,0,0,0,0,0,"32GB_54,700원/1GB_1,750,390","32GB_53,906원/1GB_1,725,000","32GB_57,812원/1GB_1,849,990","32GB_57,812원/1GB_1,849,990","32GB_57,813원/1GB_1,850,000","32GB_68,281원/1GB_2,184,990","32GB_68,281원/1GB_2,184,990","32GB_68,281원/1GB_2,185,000","32GB_68,281원/1GB_2,185,000","32GB_68,281원/1GB_2,185,000","32GB_68,281원/1GB_2,185,000","32GB_52,636원/1GB_1,684,340","32GB_52,636원/1GB_1,684,340",0,"32GB_68,125원/1GB_2,180,000","32GB_68,125원/1GB_2,179,990"
