Id,Name,2026-07-01 13:26:48,2026-07-02 13:08:07,2026-07-03 12:51:42,2026-07-04 12:51:02,2026-07-05 13:09:29,2026-07-06 13:16:41,2026-07-07 13:06:48,2026-07-08 12:33:45,2026-07-09 12:59:09,2026-07-10 13:02:31,2026-07-11 12:29:07,2026-07-12 12:41:28,2026-07-13 12:43:37,2026-07-14 12:07:08,2026-07-15 12:05:01,2026-07-16 12:12:36,2026-07-17 12:26:40,2026-07-18 12:06:47,2026-07-19 12:31:16,2026-07-20 12:51:14,2026-07-21 12:32:31,2026-07-22 12:16:18,2026-07-23 12:23:34
27791318,1Mii S03,0,"정품_23,500","정품_23,500","정품_23,500","정품_23,500","정품_23,000","정품_23,000","정품_23,000","정품_24,500","정품_24,500","정품_24,500","정품_24,500","정품_24,500","정품_24,500","정품_24,500","정품_24,500","정품_24,500","정품_24,500",0,"정품_26,100","정품_26,100",0,0
40021112,7NC NCS-201,0,"20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090","20,090",0,"20,090","20,090",0,0
57293030,7NC NCS-203,0,0,"정품_170,980","정품_170,980","정품_170,980","정품_162,110","정품_162,110","정품_170,980","정품_170,980","정품_170,980","정품_170,980","정품_170,980",0,0,0,0,0,0,0,0,0,0,0
15298781,7NC NCS-801,0,"정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900","정품_5,900",0,"정품_5,190","정품_5,190",0,0
49536419,A2 데스크탑 스피커,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"해외구매_17,170",0,0
11296623,AEPEL FR-10BT TWS,0,"29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000",0,"29,000","29,000",0,0
12734537,AEPEL FR-320BT,0,"32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000","32,000",0,"32,000","32,000",0,0
12734918,AEPEL KA-30BT,0,"92,560",0,"92,560","92,560","92,560","92,560","93,350","93,350","93,350","93,350","93,350","93,350","93,350","93,350","93,350","93,350","93,350",0,"93,330","93,350",0,0
12776912,AEPEL LOG-30BT,0,"29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000","29,000",0,"29,000","29,000",0,0
90575621,AIYIMA S30,0,"정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_121,210|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100","정품_128,880|해외구매_119,870|중고_103,100",0,0,0,0,0
76873778,AIYIMA S30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"해외구매_119,870|중고_103,100","해외구매_119,870|중고_103,100",0,0
76872863,AIYIMA S500,0,"해외구매_125,540","해외구매_125,540","해외구매_125,540","해외구매_125,540","해외구매_125,540","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410","해외구매_127,410",0,"해외구매_127,410","해외구매_125,540",0,0
76872692,AIYIMA S600,0,"해외구매_112,100","해외구매_112,100","해외구매_112,100","해외구매_112,100","해외구매_112,100","해외구매_112,100","해외구매_112,100","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960","해외구매_101,960",0,"해외구매_101,960","해외구매_101,960",0,0
76873001,AIYIMA S700,0,"해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400","해외구매_171,400",0,"해외구매_171,400","해외구매_171,400",0,0
